============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.1
Seed: 1
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260211_182514.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 28.9885 | Test Loss: 0.4587 | Train: 81.2% | Test: 77.8% | Avg10: 77.8% | Best: 0.0% | WG: 10.1% | WG-Avg10: 10.1% | WG-Best: 0.0%
Ep 2/200 | Loss: 3.7654 | Test Loss: 0.4739 | Train: 92.2% | Test: 75.4% | Avg10: 76.6% | Best: 77.8% | WG: 17.9% | WG-Avg10: 14.0% | WG-Best: 10.1%
Ep 3/200 | Loss: 2.8217 | Test Loss: 0.4872 | Train: 94.0% | Test: 74.5% | Avg10: 75.9% | Best: 77.8% | WG: 23.2% | WG-Avg10: 17.1% | WG-Best: 17.9%
Ep 4/200 | Loss: 2.7768 | Test Loss: 0.4767 | Train: 94.3% | Test: 76.0% | Avg10: 75.9% | Best: 77.8% | WG: 23.7% | WG-Avg10: 18.7% | WG-Best: 23.2%
Ep 5/200 | Loss: 2.7543 | Test Loss: 0.4831 | Train: 95.2% | Test: 76.1% | Avg10: 76.0% | Best: 77.8% | WG: 28.8% | WG-Avg10: 20.7% | WG-Best: 23.7%
Ep 6/200 | Loss: 2.7423 | Test Loss: 0.4759 | Train: 95.3% | Test: 76.7% | Avg10: 76.1% | Best: 77.8% | WG: 29.1% | WG-Avg10: 22.1% | WG-Best: 28.8%
Ep 7/200 | Loss: 2.7322 | Test Loss: 0.4675 | Train: 95.5% | Test: 77.5% | Avg10: 76.3% | Best: 77.8% | WG: 31.6% | WG-Avg10: 23.5% | WG-Best: 29.1%
Ep 8/200 | Loss: 2.7267 | Test Loss: 0.4517 | Train: 95.7% | Test: 78.5% | Avg10: 76.6% | Best: 77.8% | WG: 35.5% | WG-Avg10: 25.0% | WG-Best: 31.6%
Ep 9/200 | Loss: 2.7179 | Test Loss: 0.4435 | Train: 96.0% | Test: 79.4% | Avg10: 76.9% | Best: 78.5% | WG: 38.8% | WG-Avg10: 26.5% | WG-Best: 35.5%
Ep 10/200 | Loss: 2.7144 | Test Loss: 0.4488 | Train: 96.1% | Test: 79.3% | Avg10: 77.1% | Best: 79.4% | WG: 41.1% | WG-Avg10: 28.0% | WG-Best: 38.8%
Ep 11/200 | Loss: 2.7122 | Test Loss: 0.4269 | Train: 96.2% | Test: 80.7% | Avg10: 77.4% | Best: 79.4% | WG: 40.8% | WG-Avg10: 31.1% | WG-Best: 41.1%
Ep 12/200 | Loss: 2.7026 | Test Loss: 0.4231 | Train: 96.5% | Test: 81.0% | Avg10: 78.0% | Best: 80.7% | WG: 41.7% | WG-Avg10: 33.4% | WG-Best: 41.1%
Ep 13/200 | Loss: 2.7033 | Test Loss: 0.4275 | Train: 96.3% | Test: 80.9% | Avg10: 78.6% | Best: 81.0% | WG: 42.7% | WG-Avg10: 35.4% | WG-Best: 41.7%
Ep 14/200 | Loss: 2.6961 | Test Loss: 0.4344 | Train: 96.7% | Test: 80.5% | Avg10: 79.0% | Best: 81.0% | WG: 45.8% | WG-Avg10: 37.6% | WG-Best: 42.7%
Ep 15/200 | Loss: 2.6944 | Test Loss: 0.4203 | Train: 96.9% | Test: 81.4% | Avg10: 79.6% | Best: 81.0% | WG: 43.9% | WG-Avg10: 39.1% | WG-Best: 45.8%
Ep 16/200 | Loss: 2.6908 | Test Loss: 0.4286 | Train: 96.9% | Test: 81.2% | Avg10: 80.0% | Best: 81.4% | WG: 46.4% | WG-Avg10: 40.8% | WG-Best: 45.8%
Ep 17/200 | Loss: 2.6860 | Test Loss: 0.4258 | Train: 97.0% | Test: 81.4% | Avg10: 80.4% | Best: 81.4% | WG: 47.0% | WG-Avg10: 42.4% | WG-Best: 46.4%
Ep 18/200 | Loss: 2.6831 | Test Loss: 0.4236 | Train: 97.1% | Test: 81.7% | Avg10: 80.7% | Best: 81.4% | WG: 48.9% | WG-Avg10: 43.7% | WG-Best: 47.0%
Ep 19/200 | Loss: 2.6877 | Test Loss: 0.4086 | Train: 97.2% | Test: 82.6% | Avg10: 81.1% | Best: 81.7% | WG: 47.4% | WG-Avg10: 44.6% | WG-Best: 48.9%
Ep 20/200 | Loss: 2.6746 | Test Loss: 0.4122 | Train: 97.5% | Test: 82.4% | Avg10: 81.4% | Best: 82.6% | WG: 48.4% | WG-Avg10: 45.3% | WG-Best: 48.9%
Ep 21/200 | Loss: 2.6748 | Test Loss: 0.4295 | Train: 97.6% | Test: 81.8% | Avg10: 81.5% | Best: 82.6% | WG: 53.0% | WG-Avg10: 46.5% | WG-Best: 48.9%
Ep 22/200 | Loss: 2.6734 | Test Loss: 0.4105 | Train: 97.4% | Test: 82.8% | Avg10: 81.7% | Best: 82.6% | WG: 50.3% | WG-Avg10: 47.4% | WG-Best: 53.0%
Ep 23/200 | Loss: 2.6769 | Test Loss: 0.4110 | Train: 97.4% | Test: 82.9% | Avg10: 81.9% | Best: 82.8% | WG: 50.5% | WG-Avg10: 48.2% | WG-Best: 53.0%
Ep 24/200 | Loss: 2.6742 | Test Loss: 0.4009 | Train: 97.4% | Test: 83.5% | Avg10: 82.2% | Best: 82.9% | WG: 50.6% | WG-Avg10: 48.6% | WG-Best: 53.0%
Ep 25/200 | Loss: 2.6714 | Test Loss: 0.4135 | Train: 97.7% | Test: 82.8% | Avg10: 82.3% | Best: 83.5% | WG: 53.9% | WG-Avg10: 49.6% | WG-Best: 53.0%
Ep 26/200 | Loss: 2.6680 | Test Loss: 0.4043 | Train: 97.7% | Test: 83.5% | Avg10: 82.6% | Best: 83.5% | WG: 53.7% | WG-Avg10: 50.4% | WG-Best: 53.9%
Ep 27/200 | Loss: 2.6656 | Test Loss: 0.3935 | Train: 97.9% | Test: 84.2% | Avg10: 82.8% | Best: 83.5% | WG: 50.3% | WG-Avg10: 50.7% | WG-Best: 53.9%
Ep 28/200 | Loss: 2.6664 | Test Loss: 0.4247 | Train: 98.1% | Test: 82.8% | Avg10: 82.9% | Best: 84.2% | WG: 57.8% | WG-Avg10: 51.6% | WG-Best: 53.9%
Ep 29/200 | Loss: 2.6627 | Test Loss: 0.3915 | Train: 98.1% | Test: 84.5% | Avg10: 83.1% | Best: 84.2% | WG: 54.8% | WG-Avg10: 52.3% | WG-Best: 57.8%
Ep 30/200 | Loss: 2.6624 | Test Loss: 0.4053 | Train: 98.3% | Test: 83.8% | Avg10: 83.3% | Best: 84.5% | WG: 55.9% | WG-Avg10: 53.1% | WG-Best: 57.8%
Ep 31/200 | Loss: 2.6591 | Test Loss: 0.3797 | Train: 98.3% | Test: 85.3% | Avg10: 83.6% | Best: 84.5% | WG: 53.0% | WG-Avg10: 53.1% | WG-Best: 57.8%
Ep 32/200 | Loss: 2.6554 | Test Loss: 0.4095 | Train: 98.3% | Test: 83.7% | Avg10: 83.7% | Best: 85.3% | WG: 58.9% | WG-Avg10: 53.9% | WG-Best: 57.8%
Ep 33/200 | Loss: 2.6536 | Test Loss: 0.3938 | Train: 98.5% | Test: 84.7% | Avg10: 83.9% | Best: 85.3% | WG: 55.3% | WG-Avg10: 54.4% | WG-Best: 58.9%
Ep 34/200 | Loss: 2.6528 | Test Loss: 0.4044 | Train: 98.5% | Test: 84.2% | Avg10: 83.9% | Best: 85.3% | WG: 57.9% | WG-Avg10: 55.2% | WG-Best: 58.9%
Ep 35/200 | Loss: 2.6527 | Test Loss: 0.4015 | Train: 98.3% | Test: 84.5% | Avg10: 84.1% | Best: 85.3% | WG: 57.0% | WG-Avg10: 55.5% | WG-Best: 58.9%
Ep 36/200 | Loss: 2.6512 | Test Loss: 0.3892 | Train: 98.5% | Test: 85.2% | Avg10: 84.3% | Best: 85.3% | WG: 55.8% | WG-Avg10: 55.7% | WG-Best: 58.9%
Ep 37/200 | Loss: 2.6486 | Test Loss: 0.3921 | Train: 98.5% | Test: 85.0% | Avg10: 84.4% | Best: 85.3% | WG: 56.9% | WG-Avg10: 56.3% | WG-Best: 58.9%
Ep 38/200 | Loss: 2.6546 | Test Loss: 0.3825 | Train: 98.6% | Test: 85.6% | Avg10: 84.6% | Best: 85.3% | WG: 57.0% | WG-Avg10: 56.2% | WG-Best: 58.9%
Ep 39/200 | Loss: 2.6495 | Test Loss: 0.4042 | Train: 98.9% | Test: 84.5% | Avg10: 84.6% | Best: 85.6% | WG: 60.0% | WG-Avg10: 56.8% | WG-Best: 58.9%
Ep 40/200 | Loss: 2.6486 | Test Loss: 0.3924 | Train: 98.6% | Test: 85.1% | Avg10: 84.8% | Best: 85.6% | WG: 59.0% | WG-Avg10: 57.1% | WG-Best: 60.0%
Ep 41/200 | Loss: 2.6477 | Test Loss: 0.3979 | Train: 98.7% | Test: 84.8% | Avg10: 84.7% | Best: 85.6% | WG: 60.0% | WG-Avg10: 57.8% | WG-Best: 60.0%
Ep 42/200 | Loss: 2.6457 | Test Loss: 0.3969 | Train: 99.0% | Test: 85.1% | Avg10: 84.9% | Best: 85.6% | WG: 59.3% | WG-Avg10: 57.8% | WG-Best: 60.0%
Ep 43/200 | Loss: 2.6484 | Test Loss: 0.3898 | Train: 98.7% | Test: 85.6% | Avg10: 85.0% | Best: 85.6% | WG: 57.6% | WG-Avg10: 58.1% | WG-Best: 60.0%
Ep 44/200 | Loss: 2.6429 | Test Loss: 0.3999 | Train: 98.8% | Test: 84.9% | Avg10: 85.0% | Best: 85.6% | WG: 59.5% | WG-Avg10: 58.2% | WG-Best: 60.0%
Ep 45/200 | Loss: 2.6416 | Test Loss: 0.4049 | Train: 98.9% | Test: 84.7% | Avg10: 85.1% | Best: 85.6% | WG: 60.1% | WG-Avg10: 58.5% | WG-Best: 60.0%
Ep 46/200 | Loss: 2.6424 | Test Loss: 0.3807 | Train: 98.7% | Test: 86.1% | Avg10: 85.1% | Best: 85.6% | WG: 57.5% | WG-Avg10: 58.7% | WG-Best: 60.1%
Ep 47/200 | Loss: 2.6420 | Test Loss: 0.3902 | Train: 98.9% | Test: 85.5% | Avg10: 85.2% | Best: 86.1% | WG: 59.2% | WG-Avg10: 58.9% | WG-Best: 60.1%
Ep 48/200 | Loss: 2.6389 | Test Loss: 0.3930 | Train: 99.1% | Test: 85.4% | Avg10: 85.2% | Best: 86.1% | WG: 59.0% | WG-Avg10: 59.1% | WG-Best: 60.1%
Ep 49/200 | Loss: 2.6431 | Test Loss: 0.4004 | Train: 98.9% | Test: 85.1% | Avg10: 85.2% | Best: 86.1% | WG: 59.2% | WG-Avg10: 59.0% | WG-Best: 60.1%
Ep 50/200 | Loss: 2.6388 | Test Loss: 0.3930 | Train: 98.9% | Test: 85.3% | Avg10: 85.3% | Best: 86.1% | WG: 59.7% | WG-Avg10: 59.1% | WG-Best: 60.1%
Ep 51/200 | Loss: 2.6383 | Test Loss: 0.3886 | Train: 98.9% | Test: 85.6% | Avg10: 85.3% | Best: 86.1% | WG: 59.7% | WG-Avg10: 59.1% | WG-Best: 60.1%
Ep 52/200 | Loss: 2.6323 | Test Loss: 0.3977 | Train: 99.1% | Test: 85.3% | Avg10: 85.3% | Best: 86.1% | WG: 61.1% | WG-Avg10: 59.3% | WG-Best: 60.1%
Ep 53/200 | Loss: 2.6341 | Test Loss: 0.3830 | Train: 99.2% | Test: 86.1% | Avg10: 85.4% | Best: 86.1% | WG: 57.6% | WG-Avg10: 59.3% | WG-Best: 61.1%
Ep 54/200 | Loss: 2.6355 | Test Loss: 0.3781 | Train: 99.0% | Test: 86.5% | Avg10: 85.6% | Best: 86.1% | WG: 58.4% | WG-Avg10: 59.1% | WG-Best: 61.1%
Ep 55/200 | Loss: 2.6353 | Test Loss: 0.3994 | Train: 99.1% | Test: 85.3% | Avg10: 85.6% | Best: 86.5% | WG: 60.3% | WG-Avg10: 59.2% | WG-Best: 61.1%
Ep 56/200 | Loss: 2.6310 | Test Loss: 0.4055 | Train: 99.2% | Test: 85.1% | Avg10: 85.5% | Best: 86.5% | WG: 59.8% | WG-Avg10: 59.4% | WG-Best: 61.1%
Ep 57/200 | Loss: 2.6341 | Test Loss: 0.4036 | Train: 99.2% | Test: 85.2% | Avg10: 85.5% | Best: 86.5% | WG: 62.1% | WG-Avg10: 59.7% | WG-Best: 61.1%
Ep 58/200 | Loss: 2.6329 | Test Loss: 0.3916 | Train: 99.4% | Test: 85.9% | Avg10: 85.5% | Best: 86.5% | WG: 60.0% | WG-Avg10: 59.8% | WG-Best: 62.1%
Ep 59/200 | Loss: 2.6280 | Test Loss: 0.3923 | Train: 99.3% | Test: 85.8% | Avg10: 85.6% | Best: 86.5% | WG: 60.9% | WG-Avg10: 60.0% | WG-Best: 62.1%
Ep 60/200 | Loss: 2.6282 | Test Loss: 0.4006 | Train: 99.4% | Test: 85.5% | Avg10: 85.6% | Best: 86.5% | WG: 63.6% | WG-Avg10: 60.3% | WG-Best: 62.1%
Ep 61/200 | Loss: 2.6311 | Test Loss: 0.3941 | Train: 99.2% | Test: 85.8% | Avg10: 85.6% | Best: 86.5% | WG: 59.8% | WG-Avg10: 60.4% | WG-Best: 63.6%
Ep 62/200 | Loss: 2.6282 | Test Loss: 0.3995 | Train: 99.4% | Test: 85.6% | Avg10: 85.7% | Best: 86.5% | WG: 60.7% | WG-Avg10: 60.3% | WG-Best: 63.6%
Ep 63/200 | Loss: 2.6325 | Test Loss: 0.4086 | Train: 99.2% | Test: 85.3% | Avg10: 85.6% | Best: 86.5% | WG: 62.1% | WG-Avg10: 60.8% | WG-Best: 63.6%
Ep 64/200 | Loss: 2.6270 | Test Loss: 0.3867 | Train: 99.4% | Test: 86.3% | Avg10: 85.6% | Best: 86.5% | WG: 58.9% | WG-Avg10: 60.8% | WG-Best: 63.6%
Ep 65/200 | Loss: 2.6247 | Test Loss: 0.3911 | Train: 99.5% | Test: 86.1% | Avg10: 85.7% | Best: 86.5% | WG: 58.7% | WG-Avg10: 60.7% | WG-Best: 63.6%
Ep 66/200 | Loss: 2.6243 | Test Loss: 0.3938 | Train: 99.7% | Test: 86.1% | Avg10: 85.8% | Best: 86.5% | WG: 60.4% | WG-Avg10: 60.7% | WG-Best: 63.6%
Ep 67/200 | Loss: 2.6263 | Test Loss: 0.3895 | Train: 99.5% | Test: 86.4% | Avg10: 85.9% | Best: 86.5% | WG: 62.1% | WG-Avg10: 60.7% | WG-Best: 63.6%
Ep 68/200 | Loss: 2.6257 | Test Loss: 0.3877 | Train: 99.5% | Test: 86.4% | Avg10: 85.9% | Best: 86.5% | WG: 60.4% | WG-Avg10: 60.8% | WG-Best: 63.6%
Ep 69/200 | Loss: 2.6276 | Test Loss: 0.4236 | Train: 99.5% | Test: 85.1% | Avg10: 85.9% | Best: 86.5% | WG: 62.9% | WG-Avg10: 61.0% | WG-Best: 63.6%
Ep 70/200 | Loss: 2.6240 | Test Loss: 0.4065 | Train: 99.5% | Test: 85.8% | Avg10: 85.9% | Best: 86.5% | WG: 61.8% | WG-Avg10: 60.8% | WG-Best: 63.6%
Ep 71/200 | Loss: 2.6253 | Test Loss: 0.3997 | Train: 99.4% | Test: 85.9% | Avg10: 85.9% | Best: 86.5% | WG: 61.4% | WG-Avg10: 61.0% | WG-Best: 63.6%
Ep 72/200 | Loss: 2.6259 | Test Loss: 0.3868 | Train: 99.5% | Test: 86.6% | Avg10: 86.0% | Best: 86.5% | WG: 59.3% | WG-Avg10: 60.8% | WG-Best: 63.6%
Ep 73/200 | Loss: 2.6244 | Test Loss: 0.3981 | Train: 99.5% | Test: 86.2% | Avg10: 86.1% | Best: 86.6% | WG: 63.7% | WG-Avg10: 61.0% | WG-Best: 63.6%
Ep 74/200 | Loss: 2.6218 | Test Loss: 0.3954 | Train: 99.6% | Test: 86.3% | Avg10: 86.1% | Best: 86.6% | WG: 63.7% | WG-Avg10: 61.5% | WG-Best: 63.7%
Ep 75/200 | Loss: 2.6204 | Test Loss: 0.4098 | Train: 99.7% | Test: 85.8% | Avg10: 86.1% | Best: 86.6% | WG: 63.7% | WG-Avg10: 62.0% | WG-Best: 63.7%
Ep 76/200 | Loss: 2.6278 | Test Loss: 0.4094 | Train: 99.6% | Test: 85.8% | Avg10: 86.0% | Best: 86.6% | WG: 64.2% | WG-Avg10: 62.3% | WG-Best: 63.7%
Ep 77/200 | Loss: 2.6221 | Test Loss: 0.3959 | Train: 99.7% | Test: 86.4% | Avg10: 86.0% | Best: 86.6% | WG: 63.2% | WG-Avg10: 62.4% | WG-Best: 64.2%
Ep 78/200 | Loss: 2.6265 | Test Loss: 0.3920 | Train: 99.5% | Test: 86.6% | Avg10: 86.0% | Best: 86.6% | WG: 62.9% | WG-Avg10: 62.7% | WG-Best: 64.2%
Ep 79/200 | Loss: 2.6189 | Test Loss: 0.4150 | Train: 99.6% | Test: 85.7% | Avg10: 86.1% | Best: 86.6% | WG: 64.2% | WG-Avg10: 62.8% | WG-Best: 64.2%
Ep 80/200 | Loss: 2.6207 | Test Loss: 0.4140 | Train: 99.6% | Test: 85.8% | Avg10: 86.1% | Best: 86.6% | WG: 64.3% | WG-Avg10: 63.1% | WG-Best: 64.2%
Ep 81/200 | Loss: 2.6233 | Test Loss: 0.3912 | Train: 99.6% | Test: 86.7% | Avg10: 86.2% | Best: 86.6% | WG: 64.0% | WG-Avg10: 63.3% | WG-Best: 64.3%
Ep 82/200 | Loss: 2.6204 | Test Loss: 0.3880 | Train: 99.5% | Test: 87.0% | Avg10: 86.2% | Best: 86.7% | WG: 61.8% | WG-Avg10: 63.6% | WG-Best: 64.3%
Ep 83/200 | Loss: 2.6189 | Test Loss: 0.3925 | Train: 99.8% | Test: 86.8% | Avg10: 86.3% | Best: 87.0% | WG: 62.1% | WG-Avg10: 63.4% | WG-Best: 64.3%
Ep 84/200 | Loss: 2.6161 | Test Loss: 0.3790 | Train: 99.7% | Test: 87.5% | Avg10: 86.4% | Best: 87.0% | WG: 57.9% | WG-Avg10: 62.9% | WG-Best: 64.3%
Ep 85/200 | Loss: 2.6194 | Test Loss: 0.4141 | Train: 99.7% | Test: 86.0% | Avg10: 86.4% | Best: 87.5% | WG: 66.0% | WG-Avg10: 63.1% | WG-Best: 64.3%
Ep 86/200 | Loss: 2.6173 | Test Loss: 0.4009 | Train: 99.8% | Test: 86.5% | Avg10: 86.5% | Best: 87.5% | WG: 63.9% | WG-Avg10: 63.1% | WG-Best: 66.0%
Ep 87/200 | Loss: 2.6207 | Test Loss: 0.4014 | Train: 99.7% | Test: 86.6% | Avg10: 86.5% | Best: 87.5% | WG: 65.3% | WG-Avg10: 63.3% | WG-Best: 66.0%
Ep 88/200 | Loss: 2.6186 | Test Loss: 0.4050 | Train: 99.7% | Test: 86.4% | Avg10: 86.5% | Best: 87.5% | WG: 64.3% | WG-Avg10: 63.4% | WG-Best: 66.0%
Ep 89/200 | Loss: 2.6207 | Test Loss: 0.3898 | Train: 99.8% | Test: 86.9% | Avg10: 86.6% | Best: 87.5% | WG: 63.6% | WG-Avg10: 63.3% | WG-Best: 66.0%
Ep 90/200 | Loss: 2.6194 | Test Loss: 0.4068 | Train: 99.7% | Test: 86.2% | Avg10: 86.6% | Best: 87.5% | WG: 62.9% | WG-Avg10: 63.2% | WG-Best: 66.0%
Ep 91/200 | Loss: 2.6224 | Test Loss: 0.4001 | Train: 99.7% | Test: 86.7% | Avg10: 86.6% | Best: 87.5% | WG: 62.0% | WG-Avg10: 63.0% | WG-Best: 66.0%
Ep 92/200 | Loss: 2.6176 | Test Loss: 0.4087 | Train: 99.7% | Test: 86.3% | Avg10: 86.6% | Best: 87.5% | WG: 64.2% | WG-Avg10: 63.2% | WG-Best: 66.0%
Ep 93/200 | Loss: 2.6155 | Test Loss: 0.3948 | Train: 99.7% | Test: 87.0% | Avg10: 86.6% | Best: 87.5% | WG: 62.0% | WG-Avg10: 63.2% | WG-Best: 66.0%
Ep 94/200 | Loss: 2.6162 | Test Loss: 0.3984 | Train: 99.8% | Test: 86.6% | Avg10: 86.5% | Best: 87.5% | WG: 62.0% | WG-Avg10: 63.6% | WG-Best: 66.0%
Ep 95/200 | Loss: 2.6182 | Test Loss: 0.4128 | Train: 99.7% | Test: 86.2% | Avg10: 86.5% | Best: 87.5% | WG: 64.0% | WG-Avg10: 63.4% | WG-Best: 66.0%
Ep 96/200 | Loss: 2.6155 | Test Loss: 0.4154 | Train: 99.8% | Test: 86.1% | Avg10: 86.5% | Best: 87.5% | WG: 63.9% | WG-Avg10: 63.4% | WG-Best: 66.0%
Ep 97/200 | Loss: 2.6187 | Test Loss: 0.4095 | Train: 99.7% | Test: 86.6% | Avg10: 86.5% | Best: 87.5% | WG: 63.4% | WG-Avg10: 63.2% | WG-Best: 66.0%
Ep 98/200 | Loss: 2.6178 | Test Loss: 0.4170 | Train: 99.7% | Test: 86.1% | Avg10: 86.5% | Best: 87.5% | WG: 63.7% | WG-Avg10: 63.2% | WG-Best: 66.0%
