============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260207_224459.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 29/200 | Loss: 0.4356 | Test Loss: 1.0795 | Train: 92.4% | Test: 62.4% | Avg10: 62.9% | Best: 71.1% | WG: 10.1% | WG-Avg10: 13.4% | WG-Best: 21.8%
Ep 30/200 | Loss: 0.4375 | Test Loss: 1.2105 | Train: 92.6% | Test: 58.5% | Avg10: 61.6% | Best: 71.1% | WG: 17.6% | WG-Avg10: 15.1% | WG-Best: 21.8%
Ep 31/200 | Loss: 0.4333 | Test Loss: 0.9062 | Train: 93.0% | Test: 66.1% | Avg10: 62.0% | Best: 71.1% | WG: 7.5% | WG-Avg10: 14.2% | WG-Best: 21.8%
Ep 32/200 | Loss: 0.4241 | Test Loss: 1.3126 | Train: 93.5% | Test: 58.2% | Avg10: 61.9% | Best: 71.1% | WG: 17.3% | WG-Avg10: 14.5% | WG-Best: 21.8%
Ep 33/200 | Loss: 0.4189 | Test Loss: 0.9843 | Train: 93.8% | Test: 66.0% | Avg10: 62.5% | Best: 71.1% | WG: 9.0% | WG-Avg10: 13.6% | WG-Best: 21.8%
Ep 34/200 | Loss: 0.4196 | Test Loss: 1.2278 | Train: 93.3% | Test: 58.4% | Avg10: 61.5% | Best: 71.1% | WG: 20.1% | WG-Avg10: 14.9% | WG-Best: 21.8%
Ep 35/200 | Loss: 0.4054 | Test Loss: 1.0174 | Train: 93.7% | Test: 61.2% | Avg10: 61.2% | Best: 71.1% | WG: 16.7% | WG-Avg10: 15.7% | WG-Best: 21.8%
Ep 36/200 | Loss: 0.4114 | Test Loss: 0.9824 | Train: 93.8% | Test: 67.2% | Avg10: 61.6% | Best: 71.1% | WG: 6.7% | WG-Avg10: 14.8% | WG-Best: 21.8%
Ep 37/200 | Loss: 0.4155 | Test Loss: 1.1768 | Train: 93.6% | Test: 64.3% | Avg10: 62.2% | Best: 71.1% | WG: 8.3% | WG-Avg10: 13.5% | WG-Best: 21.8%
Ep 38/200 | Loss: 0.4069 | Test Loss: 1.1191 | Train: 94.0% | Test: 62.1% | Avg10: 62.4% | Best: 71.1% | WG: 14.5% | WG-Avg10: 12.8% | WG-Best: 21.8%
