============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 100
Batch size: 128
Learning rate: 0.001
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e100_20260206_100655.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 1/100 | Loss: 2.1022 | Test Loss: 1.9408 | Train: 21.8% | Test: 27.6% | Best: 27.6%
Ep 2/100 | Loss: 1.8716 | Test Loss: 1.7728 | Train: 30.6% | Test: 34.1% | Best: 34.1%
Ep 3/100 | Loss: 1.7378 | Test Loss: 1.6495 | Train: 35.1% | Test: 38.4% | Best: 38.4%
Ep 4/100 | Loss: 1.6442 | Test Loss: 1.5816 | Train: 38.6% | Test: 40.8% | Best: 40.8%
Ep 5/100 | Loss: 1.5833 | Test Loss: 1.5328 | Train: 40.9% | Test: 42.9% | Best: 42.9%
Ep 6/100 | Loss: 1.5410 | Test Loss: 1.4828 | Train: 42.7% | Test: 44.9% | Best: 44.9%
Ep 7/100 | Loss: 1.5002 | Test Loss: 1.4509 | Train: 44.4% | Test: 46.2% | Best: 46.2%
Ep 8/100 | Loss: 1.4671 | Test Loss: 1.4105 | Train: 45.7% | Test: 47.7% | Best: 47.7%
Ep 9/100 | Loss: 1.4333 | Test Loss: 1.3918 | Train: 47.3% | Test: 48.0% | Best: 48.0%
Ep 10/100 | Loss: 1.4050 | Test Loss: 1.3573 | Train: 48.4% | Test: 49.7% | Best: 49.7%
Ep 11/100 | Loss: 1.3753 | Test Loss: 1.3371 | Train: 49.6% | Test: 51.0% | Best: 51.0%
Ep 12/100 | Loss: 1.3548 | Test Loss: 1.3018 | Train: 50.4% | Test: 52.2% | Best: 52.2%
Ep 13/100 | Loss: 1.3239 | Test Loss: 1.2806 | Train: 51.9% | Test: 53.1% | Best: 53.1%
Ep 14/100 | Loss: 1.3046 | Test Loss: 1.2592 | Train: 52.6% | Test: 54.4% | Best: 54.4%
Ep 15/100 | Loss: 1.2838 | Test Loss: 1.2357 | Train: 53.7% | Test: 55.1% | Best: 55.1%
Ep 16/100 | Loss: 1.2585 | Test Loss: 1.2192 | Train: 54.3% | Test: 55.6% | Best: 55.6%
Ep 17/100 | Loss: 1.2376 | Test Loss: 1.2234 | Train: 54.9% | Test: 55.8% | Best: 55.8%
Ep 18/100 | Loss: 1.2215 | Test Loss: 1.1826 | Train: 55.8% | Test: 57.5% | Best: 57.5%
Ep 19/100 | Loss: 1.2027 | Test Loss: 1.1678 | Train: 56.5% | Test: 57.9% | Best: 57.9%
Ep 20/100 | Loss: 1.1846 | Test Loss: 1.1559 | Train: 57.3% | Test: 58.5% | Best: 58.5%
Ep 21/100 | Loss: 1.1723 | Test Loss: 1.1566 | Train: 57.8% | Test: 58.2% | Best: 58.5%
Ep 22/100 | Loss: 1.1540 | Test Loss: 1.1207 | Train: 58.5% | Test: 59.7% | Best: 59.7%
Ep 23/100 | Loss: 1.1381 | Test Loss: 1.1107 | Train: 59.1% | Test: 59.9% | Best: 59.9%
Ep 24/100 | Loss: 1.1245 | Test Loss: 1.1018 | Train: 59.6% | Test: 60.3% | Best: 60.3%
Ep 25/100 | Loss: 1.1065 | Test Loss: 1.0806 | Train: 60.4% | Test: 61.0% | Best: 61.0%
