============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260208_100458.txt
============================================================

Downloading: "https://download.pytorch.org/models/resnet18-f37072fd.pth" to C:\Users\GrGrie/.cache\torch\hub\checkpoints\resnet18-f37072fd.pth
Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 28/200 | Loss: 0.2645 | Test Loss: 0.4819 | Train: 99.8% | Test: 87.7% | Avg10: 86.6% | Best: 87.6% | WG: 66.5% | WG-Avg10: 62.9% | WG-Best: 66.0%
Ep 29/200 | Loss: 0.2633 | Test Loss: 0.5263 | Train: 100.0% | Test: 86.8% | Avg10: 86.6% | Best: 87.7% | WG: 65.3% | WG-Avg10: 63.1% | WG-Best: 66.5%
Ep 30/200 | Loss: 0.2647 | Test Loss: 0.4693 | Train: 99.9% | Test: 88.0% | Avg10: 86.8% | Best: 87.7% | WG: 66.5% | WG-Avg10: 63.2% | WG-Best: 66.5%
Ep 31/200 | Loss: 0.2632 | Test Loss: 0.5164 | Train: 99.9% | Test: 87.2% | Avg10: 86.9% | Best: 88.0% | WG: 63.4% | WG-Avg10: 63.3% | WG-Best: 66.5%
Ep 32/200 | Loss: 0.2633 | Test Loss: 0.5020 | Train: 100.0% | Test: 87.5% | Avg10: 87.1% | Best: 88.0% | WG: 65.4% | WG-Avg10: 63.4% | WG-Best: 66.5%
Ep 33/200 | Loss: 0.2631 | Test Loss: 0.4936 | Train: 99.9% | Test: 87.8% | Avg10: 87.2% | Best: 88.0% | WG: 62.6% | WG-Avg10: 63.8% | WG-Best: 66.5%
Ep 34/200 | Loss: 0.2619 | Test Loss: 0.5278 | Train: 100.0% | Test: 87.0% | Avg10: 87.3% | Best: 88.0% | WG: 67.9% | WG-Avg10: 64.0% | WG-Best: 66.5%
Ep 35/200 | Loss: 0.2628 | Test Loss: 0.5028 | Train: 100.0% | Test: 87.7% | Avg10: 87.3% | Best: 88.0% | WG: 64.8% | WG-Avg10: 64.5% | WG-Best: 67.9%
Ep 36/200 | Loss: 0.2632 | Test Loss: 0.5140 | Train: 99.9% | Test: 87.6% | Avg10: 87.3% | Best: 88.0% | WG: 65.6% | WG-Avg10: 65.2% | WG-Best: 67.9%
Ep 37/200 | Loss: 0.2626 | Test Loss: 0.5626 | Train: 100.0% | Test: 86.5% | Avg10: 87.4% | Best: 88.0% | WG: 63.4% | WG-Avg10: 65.1% | WG-Best: 67.9%
