============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\cifar10_mlp_kanRegWeight0.0_lr0.01_seed42_e200_hiddenDim2048_20260306_102922.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: MLP | Params: 12,244,042

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 12244042 / 12244042
Ep 30/200 | Train Loss: 0.4848 | Val Loss: 0.5816 | Test Loss: 0.5816 | Train: 83.1% | Val: 80.0% | Test: 80.0% | Val-Avg10: 75.8% | Val-Best: 80.0%
Ep 31/200 | Train Loss: 0.4741 | Val Loss: 0.6587 | Test Loss: 0.6587 | Train: 83.6% | Val: 77.8% | Test: 77.8% | Val-Avg10: 75.8% | Val-Best: 80.0%
Ep 32/200 | Train Loss: 0.4688 | Val Loss: 0.6574 | Test Loss: 0.6574 | Train: 83.7% | Val: 77.4% | Test: 77.4% | Val-Avg10: 75.9% | Val-Best: 80.0%
Ep 33/200 | Train Loss: 0.4658 | Val Loss: 1.0891 | Test Loss: 1.0891 | Train: 83.8% | Val: 66.5% | Test: 66.5% | Val-Avg10: 75.1% | Val-Best: 80.0%
Ep 34/200 | Train Loss: 0.4609 | Val Loss: 0.6212 | Test Loss: 0.6212 | Train: 84.0% | Val: 78.0% | Test: 78.0% | Val-Avg10: 75.3% | Val-Best: 80.0%
Ep 35/200 | Train Loss: 0.4545 | Val Loss: 0.7466 | Test Loss: 0.7466 | Train: 84.2% | Val: 74.5% | Test: 74.5% | Val-Avg10: 75.0% | Val-Best: 80.0%
Ep 36/200 | Train Loss: 0.4527 | Val Loss: 0.5660 | Test Loss: 0.5660 | Train: 84.3% | Val: 80.7% | Test: 80.7% | Val-Avg10: 75.3% | Val-Best: 80.7%
Ep 37/200 | Train Loss: 0.4496 | Val Loss: 0.5477 | Test Loss: 0.5477 | Train: 84.5% | Val: 80.8% | Test: 80.8% | Val-Avg10: 76.2% | Val-Best: 80.8%
Ep 38/200 | Train Loss: 0.4439 | Val Loss: 0.6177 | Test Loss: 0.6177 | Train: 84.5% | Val: 78.6% | Test: 78.6% | Val-Avg10: 76.6% | Val-Best: 80.8%
Ep 39/200 | Train Loss: 0.4407 | Val Loss: 0.7183 | Test Loss: 0.7183 | Train: 84.6% | Val: 75.2% | Test: 75.2% | Val-Avg10: 77.0% | Val-Best: 80.8%
Ep 40/200 | Train Loss: 0.4381 | Val Loss: 0.5757 | Test Loss: 0.5757 | Train: 84.7% | Val: 80.4% | Test: 80.4% | Val-Avg10: 77.0% | Val-Best: 80.8%
Ep 41/200 | Train Loss: 0.4391 | Val Loss: 0.6996 | Test Loss: 0.6996 | Train: 84.9% | Val: 75.8% | Test: 75.8% | Val-Avg10: 76.8% | Val-Best: 80.8%
Ep 42/200 | Train Loss: 0.4344 | Val Loss: 0.6393 | Test Loss: 0.6393 | Train: 84.9% | Val: 77.7% | Test: 77.7% | Val-Avg10: 76.8% | Val-Best: 80.8%
Ep 43/200 | Train Loss: 0.4250 | Val Loss: 0.6233 | Test Loss: 0.6233 | Train: 85.2% | Val: 78.2% | Test: 78.2% | Val-Avg10: 78.0% | Val-Best: 80.8%
Ep 44/200 | Train Loss: 0.4284 | Val Loss: 0.8139 | Test Loss: 0.8139 | Train: 85.2% | Val: 74.6% | Test: 74.6% | Val-Avg10: 77.7% | Val-Best: 80.8%
Ep 45/200 | Train Loss: 0.4271 | Val Loss: 0.6931 | Test Loss: 0.6931 | Train: 85.4% | Val: 76.0% | Test: 76.0% | Val-Avg10: 77.8% | Val-Best: 80.8%
Ep 46/200 | Train Loss: 0.4180 | Val Loss: 0.6449 | Test Loss: 0.6449 | Train: 85.6% | Val: 78.5% | Test: 78.5% | Val-Avg10: 77.6% | Val-Best: 80.8%
Ep 47/200 | Train Loss: 0.4176 | Val Loss: 0.6983 | Test Loss: 0.6983 | Train: 85.8% | Val: 77.1% | Test: 77.1% | Val-Avg10: 77.2% | Val-Best: 80.8%
Ep 48/200 | Train Loss: 0.4165 | Val Loss: 0.6147 | Test Loss: 0.6147 | Train: 85.5% | Val: 79.2% | Test: 79.2% | Val-Avg10: 77.3% | Val-Best: 80.8%
Ep 49/200 | Train Loss: 0.4097 | Val Loss: 0.5518 | Test Loss: 0.5518 | Train: 85.8% | Val: 80.6% | Test: 80.6% | Val-Avg10: 77.8% | Val-Best: 80.8%
Ep 50/200 | Train Loss: 0.4130 | Val Loss: 0.5510 | Test Loss: 0.5510 | Train: 85.9% | Val: 81.1% | Test: 81.1% | Val-Avg10: 77.9% | Val-Best: 81.1%
Ep 51/200 | Train Loss: 0.4082 | Val Loss: 0.6488 | Test Loss: 0.6488 | Train: 85.9% | Val: 78.1% | Test: 78.1% | Val-Avg10: 78.1% | Val-Best: 81.1%
Ep 52/200 | Train Loss: 0.4041 | Val Loss: 0.5054 | Test Loss: 0.5054 | Train: 86.1% | Val: 82.4% | Test: 82.4% | Val-Avg10: 78.6% | Val-Best: 82.4%
Ep 53/200 | Train Loss: 0.4009 | Val Loss: 0.5124 | Test Loss: 0.5124 | Train: 86.3% | Val: 82.2% | Test: 82.2% | Val-Avg10: 79.0% | Val-Best: 82.4%
Ep 54/200 | Train Loss: 0.3990 | Val Loss: 0.5646 | Test Loss: 0.5646 | Train: 86.3% | Val: 79.9% | Test: 79.9% | Val-Avg10: 79.5% | Val-Best: 82.4%
Ep 55/200 | Train Loss: 0.3977 | Val Loss: 0.5472 | Test Loss: 0.5472 | Train: 86.3% | Val: 80.8% | Test: 80.8% | Val-Avg10: 80.0% | Val-Best: 82.4%
Ep 56/200 | Train Loss: 0.3940 | Val Loss: 0.5450 | Test Loss: 0.5450 | Train: 86.6% | Val: 81.4% | Test: 81.4% | Val-Avg10: 80.3% | Val-Best: 82.4%
Ep 57/200 | Train Loss: 0.3947 | Val Loss: 0.5739 | Test Loss: 0.5739 | Train: 86.4% | Val: 80.3% | Test: 80.3% | Val-Avg10: 80.6% | Val-Best: 82.4%
Ep 58/200 | Train Loss: 0.3939 | Val Loss: 0.4888 | Test Loss: 0.4888 | Train: 86.6% | Val: 83.2% | Test: 83.2% | Val-Avg10: 81.0% | Val-Best: 83.2%
Ep 59/200 | Train Loss: 0.3862 | Val Loss: 0.4808 | Test Loss: 0.4808 | Train: 86.7% | Val: 82.8% | Test: 82.8% | Val-Avg10: 81.2% | Val-Best: 83.2%
Ep 60/200 | Train Loss: 0.3889 | Val Loss: 0.6212 | Test Loss: 0.6212 | Train: 86.6% | Val: 79.0% | Test: 79.0% | Val-Avg10: 81.0% | Val-Best: 83.2%
Ep 61/200 | Train Loss: 0.3830 | Val Loss: 0.6633 | Test Loss: 0.6633 | Train: 86.7% | Val: 77.3% | Test: 77.3% | Val-Avg10: 80.9% | Val-Best: 83.2%
Ep 62/200 | Train Loss: 0.3841 | Val Loss: 0.5620 | Test Loss: 0.5620 | Train: 86.8% | Val: 81.3% | Test: 81.3% | Val-Avg10: 80.8% | Val-Best: 83.2%
Ep 63/200 | Train Loss: 0.3791 | Val Loss: 0.5857 | Test Loss: 0.5857 | Train: 87.1% | Val: 80.2% | Test: 80.2% | Val-Avg10: 80.6% | Val-Best: 83.2%
Ep 64/200 | Train Loss: 0.3810 | Val Loss: 0.5147 | Test Loss: 0.5147 | Train: 86.8% | Val: 82.4% | Test: 82.4% | Val-Avg10: 80.9% | Val-Best: 83.2%
Ep 65/200 | Train Loss: 0.3796 | Val Loss: 0.6860 | Test Loss: 0.6860 | Train: 86.9% | Val: 76.8% | Test: 76.8% | Val-Avg10: 80.5% | Val-Best: 83.2%
Ep 66/200 | Train Loss: 0.3746 | Val Loss: 0.5096 | Test Loss: 0.5096 | Train: 87.2% | Val: 82.6% | Test: 82.6% | Val-Avg10: 80.6% | Val-Best: 83.2%
Ep 67/200 | Train Loss: 0.3741 | Val Loss: 0.6039 | Test Loss: 0.6039 | Train: 87.1% | Val: 80.2% | Test: 80.2% | Val-Avg10: 80.6% | Val-Best: 83.2%
Ep 68/200 | Train Loss: 0.3741 | Val Loss: 0.5062 | Test Loss: 0.5062 | Train: 87.3% | Val: 82.5% | Test: 82.5% | Val-Avg10: 80.5% | Val-Best: 83.2%
Ep 69/200 | Train Loss: 0.3689 | Val Loss: 0.5013 | Test Loss: 0.5013 | Train: 87.5% | Val: 82.9% | Test: 82.9% | Val-Avg10: 80.5% | Val-Best: 83.2%
Ep 70/200 | Train Loss: 0.3667 | Val Loss: 0.5524 | Test Loss: 0.5524 | Train: 87.5% | Val: 80.7% | Test: 80.7% | Val-Avg10: 80.7% | Val-Best: 83.2%
Ep 71/200 | Train Loss: 0.3683 | Val Loss: 0.6552 | Test Loss: 0.6552 | Train: 87.3% | Val: 77.8% | Test: 77.8% | Val-Avg10: 80.7% | Val-Best: 83.2%
Ep 72/200 | Train Loss: 0.3652 | Val Loss: 0.5371 | Test Loss: 0.5371 | Train: 87.5% | Val: 81.7% | Test: 81.7% | Val-Avg10: 80.8% | Val-Best: 83.2%
Ep 73/200 | Train Loss: 0.3631 | Val Loss: 0.4841 | Test Loss: 0.4841 | Train: 87.5% | Val: 83.5% | Test: 83.5% | Val-Avg10: 81.1% | Val-Best: 83.5%
Ep 74/200 | Train Loss: 0.3604 | Val Loss: 0.5603 | Test Loss: 0.5603 | Train: 87.5% | Val: 80.8% | Test: 80.8% | Val-Avg10: 80.9% | Val-Best: 83.5%
Ep 75/200 | Train Loss: 0.3597 | Val Loss: 0.5340 | Test Loss: 0.5340 | Train: 87.8% | Val: 81.8% | Test: 81.8% | Val-Avg10: 81.5% | Val-Best: 83.5%
Ep 76/200 | Train Loss: 0.3569 | Val Loss: 0.6154 | Test Loss: 0.6154 | Train: 87.9% | Val: 79.4% | Test: 79.4% | Val-Avg10: 81.1% | Val-Best: 83.5%
Ep 77/200 | Train Loss: 0.3579 | Val Loss: 0.4959 | Test Loss: 0.4959 | Train: 87.7% | Val: 82.9% | Test: 82.9% | Val-Avg10: 81.4% | Val-Best: 83.5%
Ep 78/200 | Train Loss: 0.3555 | Val Loss: 0.7375 | Test Loss: 0.7375 | Train: 87.8% | Val: 76.8% | Test: 76.8% | Val-Avg10: 80.8% | Val-Best: 83.5%
Ep 79/200 | Train Loss: 0.3531 | Val Loss: 0.4864 | Test Loss: 0.4864 | Train: 87.9% | Val: 82.9% | Test: 82.9% | Val-Avg10: 80.8% | Val-Best: 83.5%
Ep 80/200 | Train Loss: 0.3517 | Val Loss: 0.5088 | Test Loss: 0.5088 | Train: 87.9% | Val: 82.5% | Test: 82.5% | Val-Avg10: 81.0% | Val-Best: 83.5%
Ep 81/200 | Train Loss: 0.3512 | Val Loss: 1.1756 | Test Loss: 1.1756 | Train: 87.9% | Val: 66.4% | Test: 66.4% | Val-Avg10: 79.9% | Val-Best: 83.5%
Ep 82/200 | Train Loss: 0.3513 | Val Loss: 0.5276 | Test Loss: 0.5276 | Train: 88.2% | Val: 81.8% | Test: 81.8% | Val-Avg10: 79.9% | Val-Best: 83.5%
Ep 83/200 | Train Loss: 0.3489 | Val Loss: 0.5314 | Test Loss: 0.5314 | Train: 88.2% | Val: 81.8% | Test: 81.8% | Val-Avg10: 79.7% | Val-Best: 83.5%
Ep 84/200 | Train Loss: 0.3466 | Val Loss: 0.6363 | Test Loss: 0.6363 | Train: 88.2% | Val: 79.1% | Test: 79.1% | Val-Avg10: 79.5% | Val-Best: 83.5%
Ep 85/200 | Train Loss: 0.3467 | Val Loss: 0.5346 | Test Loss: 0.5346 | Train: 88.0% | Val: 81.8% | Test: 81.8% | Val-Avg10: 79.5% | Val-Best: 83.5%
Ep 86/200 | Train Loss: 0.3403 | Val Loss: 0.5966 | Test Loss: 0.5966 | Train: 88.5% | Val: 79.8% | Test: 79.8% | Val-Avg10: 79.6% | Val-Best: 83.5%
Ep 87/200 | Train Loss: 0.3453 | Val Loss: 0.5124 | Test Loss: 0.5124 | Train: 88.3% | Val: 82.3% | Test: 82.3% | Val-Avg10: 79.5% | Val-Best: 83.5%
Ep 88/200 | Train Loss: 0.3419 | Val Loss: 0.4554 | Test Loss: 0.4554 | Train: 88.4% | Val: 84.4% | Test: 84.4% | Val-Avg10: 80.3% | Val-Best: 84.4%
Ep 89/200 | Train Loss: 0.3349 | Val Loss: 0.6409 | Test Loss: 0.6409 | Train: 88.6% | Val: 78.5% | Test: 78.5% | Val-Avg10: 79.8% | Val-Best: 84.4%
Ep 90/200 | Train Loss: 0.3375 | Val Loss: 0.5293 | Test Loss: 0.5293 | Train: 88.4% | Val: 81.9% | Test: 81.9% | Val-Avg10: 79.8% | Val-Best: 84.4%
Ep 91/200 | Train Loss: 0.3388 | Val Loss: 0.4994 | Test Loss: 0.4994 | Train: 88.3% | Val: 83.0% | Test: 83.0% | Val-Avg10: 81.4% | Val-Best: 84.4%
Ep 92/200 | Train Loss: 0.3339 | Val Loss: 0.4691 | Test Loss: 0.4691 | Train: 88.7% | Val: 83.6% | Test: 83.6% | Val-Avg10: 81.6% | Val-Best: 84.4%
Ep 93/200 | Train Loss: 0.3333 | Val Loss: 0.5252 | Test Loss: 0.5252 | Train: 88.7% | Val: 81.8% | Test: 81.8% | Val-Avg10: 81.6% | Val-Best: 84.4%
Ep 94/200 | Train Loss: 0.3286 | Val Loss: 0.5314 | Test Loss: 0.5314 | Train: 88.8% | Val: 82.0% | Test: 82.0% | Val-Avg10: 81.9% | Val-Best: 84.4%
Ep 95/200 | Train Loss: 0.3304 | Val Loss: 0.4590 | Test Loss: 0.4590 | Train: 88.9% | Val: 84.4% | Test: 84.4% | Val-Avg10: 82.2% | Val-Best: 84.4%
Ep 96/200 | Train Loss: 0.3301 | Val Loss: 0.6311 | Test Loss: 0.6311 | Train: 88.7% | Val: 80.3% | Test: 80.3% | Val-Avg10: 82.2% | Val-Best: 84.4%
Ep 97/200 | Train Loss: 0.3310 | Val Loss: 0.5452 | Test Loss: 0.5452 | Train: 88.9% | Val: 82.2% | Test: 82.2% | Val-Avg10: 82.2% | Val-Best: 84.4%
Ep 98/200 | Train Loss: 0.3277 | Val Loss: 0.5860 | Test Loss: 0.5860 | Train: 88.9% | Val: 81.3% | Test: 81.3% | Val-Avg10: 81.9% | Val-Best: 84.4%
Ep 99/200 | Train Loss: 0.3273 | Val Loss: 0.4446 | Test Loss: 0.4446 | Train: 88.9% | Val: 84.7% | Test: 84.7% | Val-Avg10: 82.5% | Val-Best: 84.7%
Ep 100/200 | Train Loss: 0.3243 | Val Loss: 0.6154 | Test Loss: 0.6154 | Train: 89.0% | Val: 78.9% | Test: 78.9% | Val-Avg10: 82.2% | Val-Best: 84.7%
Ep 101/200 | Train Loss: 0.3207 | Val Loss: 0.4712 | Test Loss: 0.4712 | Train: 89.0% | Val: 83.8% | Test: 83.8% | Val-Avg10: 82.3% | Val-Best: 84.7%
Ep 102/200 | Train Loss: 0.3230 | Val Loss: 0.5804 | Test Loss: 0.5804 | Train: 89.0% | Val: 81.0% | Test: 81.0% | Val-Avg10: 82.1% | Val-Best: 84.7%
Ep 103/200 | Train Loss: 0.3210 | Val Loss: 0.6005 | Test Loss: 0.6005 | Train: 89.0% | Val: 80.1% | Test: 80.1% | Val-Avg10: 81.9% | Val-Best: 84.7%
Ep 104/200 | Train Loss: 0.3187 | Val Loss: 0.5504 | Test Loss: 0.5504 | Train: 89.2% | Val: 82.1% | Test: 82.1% | Val-Avg10: 81.9% | Val-Best: 84.7%
Ep 105/200 | Train Loss: 0.3239 | Val Loss: 0.5269 | Test Loss: 0.5269 | Train: 89.1% | Val: 82.5% | Test: 82.5% | Val-Avg10: 81.7% | Val-Best: 84.7%
Ep 106/200 | Train Loss: 0.3180 | Val Loss: 0.4354 | Test Loss: 0.4354 | Train: 89.2% | Val: 85.3% | Test: 85.3% | Val-Avg10: 82.2% | Val-Best: 85.3%
Ep 107/200 | Train Loss: 0.3145 | Val Loss: 0.5479 | Test Loss: 0.5479 | Train: 89.1% | Val: 81.9% | Test: 81.9% | Val-Avg10: 82.2% | Val-Best: 85.3%
Ep 108/200 | Train Loss: 0.3155 | Val Loss: 0.4682 | Test Loss: 0.4682 | Train: 89.3% | Val: 84.0% | Test: 84.0% | Val-Avg10: 82.4% | Val-Best: 85.3%
Ep 109/200 | Train Loss: 0.3144 | Val Loss: 0.4050 | Test Loss: 0.4050 | Train: 89.4% | Val: 85.9% | Test: 85.9% | Val-Avg10: 82.6% | Val-Best: 85.9%
