============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_kan_h2048_e200_20260202_132204.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: KAN | Params: 21,864,512

Ep 51/200 | Loss: 0.0045 | Test Loss: 0.0689 | Train: 99.9% | Test: 98.0% | Best: 99.2%
Ep 52/200 | Loss: 0.0055 | Test Loss: 0.0432 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 53/200 | Loss: 0.0046 | Test Loss: 0.0357 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 54/200 | Loss: 0.0062 | Test Loss: 0.0395 | Train: 99.8% | Test: 99.0% | Best: 99.2%
Ep 55/200 | Loss: 0.0046 | Test Loss: 0.0426 | Train: 99.9% | Test: 98.8% | Best: 99.2%
Ep 56/200 | Loss: 0.0056 | Test Loss: 0.0384 | Train: 99.8% | Test: 98.8% | Best: 99.2%
Ep 57/200 | Loss: 0.0059 | Test Loss: 0.0451 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 58/200 | Loss: 0.0047 | Test Loss: 0.0400 | Train: 99.9% | Test: 98.8% | Best: 99.2%
Ep 59/200 | Loss: 0.0053 | Test Loss: 0.0410 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 60/200 | Loss: 0.0062 | Test Loss: 0.0446 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 61/200 | Loss: 0.0044 | Test Loss: 0.0374 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 62/200 | Loss: 0.0060 | Test Loss: 0.0383 | Train: 99.8% | Test: 99.0% | Best: 99.2%
Ep 63/200 | Loss: 0.0046 | Test Loss: 0.0694 | Train: 99.9% | Test: 98.2% | Best: 99.2%
Ep 64/200 | Loss: 0.0045 | Test Loss: 0.0405 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 65/200 | Loss: 0.0049 | Test Loss: 0.0457 | Train: 99.9% | Test: 98.7% | Best: 99.2%
Ep 66/200 | Loss: 0.0051 | Test Loss: 0.0456 | Train: 99.8% | Test: 98.8% | Best: 99.2%
Ep 67/200 | Loss: 0.0062 | Test Loss: 0.0439 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 68/200 | Loss: 0.0058 | Test Loss: 0.0297 | Train: 99.8% | Test: 99.1% | Best: 99.2%
Ep 69/200 | Loss: 0.0039 | Test Loss: 0.0512 | Train: 99.9% | Test: 98.6% | Best: 99.2%
Ep 70/200 | Loss: 0.0047 | Test Loss: 0.0430 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 71/200 | Loss: 0.0055 | Test Loss: 0.0433 | Train: 99.8% | Test: 98.9% | Best: 99.2%
Ep 72/200 | Loss: 0.0057 | Test Loss: 0.0812 | Train: 99.8% | Test: 98.0% | Best: 99.2%
Ep 73/200 | Loss: 0.0058 | Test Loss: 0.0416 | Train: 99.8% | Test: 98.8% | Best: 99.2%
Ep 74/200 | Loss: 0.0053 | Test Loss: 0.0688 | Train: 99.9% | Test: 98.0% | Best: 99.2%
Ep 75/200 | Loss: 0.0065 | Test Loss: 0.0410 | Train: 99.8% | Test: 98.8% | Best: 99.2%
Ep 76/200 | Loss: 0.0056 | Test Loss: 0.0378 | Train: 99.8% | Test: 99.0% | Best: 99.2%
Ep 77/200 | Loss: 0.0043 | Test Loss: 0.0580 | Train: 99.9% | Test: 98.5% | Best: 99.2%
Ep 78/200 | Loss: 0.0053 | Test Loss: 0.0476 | Train: 99.8% | Test: 98.5% | Best: 99.2%
Ep 79/200 | Loss: 0.0048 | Test Loss: 0.0336 | Train: 99.8% | Test: 99.1% | Best: 99.2%
Ep 80/200 | Loss: 0.0054 | Test Loss: 0.0571 | Train: 99.8% | Test: 98.5% | Best: 99.2%
Ep 81/200 | Loss: 0.0053 | Test Loss: 0.0558 | Train: 99.8% | Test: 98.6% | Best: 99.2%
Ep 82/200 | Loss: 0.0058 | Test Loss: 0.0520 | Train: 99.8% | Test: 98.5% | Best: 99.2%
Ep 83/200 | Loss: 0.0051 | Test Loss: 0.0535 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 84/200 | Loss: 0.0051 | Test Loss: 0.0489 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 85/200 | Loss: 0.0051 | Test Loss: 0.0515 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 86/200 | Loss: 0.0054 | Test Loss: 0.0324 | Train: 99.8% | Test: 99.2% | Best: 99.2%
Ep 87/200 | Loss: 0.0063 | Test Loss: 0.0451 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 88/200 | Loss: 0.0053 | Test Loss: 0.0520 | Train: 99.8% | Test: 98.6% | Best: 99.2%
Ep 89/200 | Loss: 0.0059 | Test Loss: 0.0534 | Train: 99.8% | Test: 98.6% | Best: 99.2%
Ep 90/200 | Loss: 0.0048 | Test Loss: 0.0442 | Train: 99.8% | Test: 98.9% | Best: 99.2%
Ep 91/200 | Loss: 0.0049 | Test Loss: 0.0511 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 92/200 | Loss: 0.0044 | Test Loss: 0.0656 | Train: 99.9% | Test: 98.3% | Best: 99.2%
Ep 93/200 | Loss: 0.0051 | Test Loss: 0.0328 | Train: 99.9% | Test: 99.2% | Best: 99.2%
Ep 94/200 | Loss: 0.0054 | Test Loss: 0.0432 | Train: 99.8% | Test: 99.0% | Best: 99.2%
Ep 95/200 | Loss: 0.0043 | Test Loss: 0.0372 | Train: 99.9% | Test: 99.1% | Best: 99.2%
Ep 96/200 | Loss: 0.0045 | Test Loss: 0.0962 | Train: 99.9% | Test: 97.5% | Best: 99.2%
Ep 97/200 | Loss: 0.0054 | Test Loss: 0.0386 | Train: 99.8% | Test: 99.0% | Best: 99.2%
Ep 98/200 | Loss: 0.0037 | Test Loss: 0.0452 | Train: 99.9% | Test: 98.8% | Best: 99.2%
Ep 99/200 | Loss: 0.0035 | Test Loss: 0.0302 | Train: 99.9% | Test: 99.2% | Best: 99.2%
Ep 100/200 | Loss: 0.0041 | Test Loss: 0.0429 | Train: 99.9% | Test: 98.8% | Best: 99.2%
Ep 101/200 | Loss: 0.0051 | Test Loss: 0.0458 | Train: 99.8% | Test: 98.8% | Best: 99.2%
Ep 102/200 | Loss: 0.0047 | Test Loss: 0.0431 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 103/200 | Loss: 0.0065 | Test Loss: 0.0309 | Train: 99.8% | Test: 99.1% | Best: 99.2%
Ep 104/200 | Loss: 0.0053 | Test Loss: 0.0467 | Train: 99.8% | Test: 98.8% | Best: 99.2%
Ep 105/200 | Loss: 0.0031 | Test Loss: 0.0304 | Train: 99.9% | Test: 99.2% | Best: 99.2%
Ep 106/200 | Loss: 0.0048 | Test Loss: 0.0535 | Train: 99.9% | Test: 98.7% | Best: 99.2%
Ep 107/200 | Loss: 0.0039 | Test Loss: 0.0435 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 108/200 | Loss: 0.0046 | Test Loss: 0.0391 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 109/200 | Loss: 0.0036 | Test Loss: 0.0327 | Train: 99.9% | Test: 99.1% | Best: 99.2%
Ep 110/200 | Loss: 0.0047 | Test Loss: 0.0467 | Train: 99.9% | Test: 98.8% | Best: 99.2%
Ep 111/200 | Loss: 0.0048 | Test Loss: 0.0393 | Train: 99.8% | Test: 99.0% | Best: 99.2%
Ep 112/200 | Loss: 0.0054 | Test Loss: 0.0446 | Train: 99.8% | Test: 98.9% | Best: 99.2%
Ep 113/200 | Loss: 0.0033 | Test Loss: 0.0359 | Train: 99.9% | Test: 99.1% | Best: 99.2%
Ep 114/200 | Loss: 0.0041 | Test Loss: 0.0492 | Train: 99.9% | Test: 98.6% | Best: 99.2%
Ep 115/200 | Loss: 0.0064 | Test Loss: 0.0513 | Train: 99.8% | Test: 98.7% | Best: 99.2%
Ep 116/200 | Loss: 0.0043 | Test Loss: 0.0361 | Train: 99.9% | Test: 99.1% | Best: 99.2%
Ep 117/200 | Loss: 0.0055 | Test Loss: 0.0463 | Train: 99.8% | Test: 98.9% | Best: 99.2%
Ep 118/200 | Loss: 0.0034 | Test Loss: 0.0421 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 119/200 | Loss: 0.0019 | Test Loss: 0.0553 | Train: 100.0% | Test: 98.6% | Best: 99.2%
Ep 120/200 | Loss: 0.0031 | Test Loss: 0.0547 | Train: 99.9% | Test: 98.6% | Best: 99.2%
Ep 121/200 | Loss: 0.0043 | Test Loss: 0.0448 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 122/200 | Loss: 0.0051 | Test Loss: 0.0394 | Train: 99.8% | Test: 99.1% | Best: 99.2%
Ep 123/200 | Loss: 0.0042 | Test Loss: 0.0640 | Train: 99.9% | Test: 98.5% | Best: 99.2%
