============================================================
Training Configuration
============================================================
Dataset: spur_cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\spur_cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260218_161645.txt
WandB: enabled
============================================================

data_dir  ./data\spur_cifar10
Warning: Could not load spur_cifar10 as WILDS dataset, loading as standard CIFAR-10
Dataset: SPUR_CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 29/200 | Train Loss: 0.2909 | Val Loss: 0.2383 | Test Loss: 0.2383 | Train: 98.9% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.1% | Val-Best: 93.4%
Ep 30/200 | Train Loss: 0.2919 | Val Loss: 0.2324 | Test Loss: 0.2324 | Train: 98.8% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.2% | Val-Best: 93.4%
Ep 31/200 | Train Loss: 0.2923 | Val Loss: 0.2286 | Test Loss: 0.2286 | Train: 98.9% | Val: 93.4% | Test: 93.4% | Val-Avg10: 93.2% | Val-Best: 93.4%
Ep 32/200 | Train Loss: 0.2908 | Val Loss: 0.2425 | Test Loss: 0.2425 | Train: 98.9% | Val: 93.1% | Test: 93.1% | Val-Avg10: 93.2% | Val-Best: 93.4%
Ep 33/200 | Train Loss: 0.2894 | Val Loss: 0.2469 | Test Loss: 0.2469 | Train: 99.0% | Val: 93.1% | Test: 93.1% | Val-Avg10: 93.2% | Val-Best: 93.4%
Ep 34/200 | Train Loss: 0.2919 | Val Loss: 0.2441 | Test Loss: 0.2441 | Train: 98.8% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.3% | Val-Best: 93.4%
Ep 35/200 | Train Loss: 0.2880 | Val Loss: 0.2505 | Test Loss: 0.2505 | Train: 99.0% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.3% | Val-Best: 93.4%
Ep 36/200 | Train Loss: 0.2875 | Val Loss: 0.2391 | Test Loss: 0.2391 | Train: 99.0% | Val: 93.4% | Test: 93.4% | Val-Avg10: 93.3% | Val-Best: 93.4%
Ep 37/200 | Train Loss: 0.2869 | Val Loss: 0.2381 | Test Loss: 0.2381 | Train: 99.1% | Val: 93.6% | Test: 93.6% | Val-Avg10: 93.3% | Val-Best: 93.6%
Ep 38/200 | Train Loss: 0.2868 | Val Loss: 0.2253 | Test Loss: 0.2253 | Train: 99.1% | Val: 93.8% | Test: 93.8% | Val-Avg10: 93.3% | Val-Best: 93.8%
Ep 39/200 | Train Loss: 0.2881 | Val Loss: 0.2372 | Test Loss: 0.2372 | Train: 99.0% | Val: 93.7% | Test: 93.7% | Val-Avg10: 93.4% | Val-Best: 93.8%
Ep 40/200 | Train Loss: 0.2850 | Val Loss: 0.2405 | Test Loss: 0.2405 | Train: 99.1% | Val: 93.7% | Test: 93.7% | Val-Avg10: 93.4% | Val-Best: 93.8%
Ep 41/200 | Train Loss: 0.2850 | Val Loss: 0.2400 | Test Loss: 0.2400 | Train: 99.1% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.4% | Val-Best: 93.8%
Ep 42/200 | Train Loss: 0.2873 | Val Loss: 0.2397 | Test Loss: 0.2397 | Train: 99.0% | Val: 93.5% | Test: 93.5% | Val-Avg10: 93.5% | Val-Best: 93.8%
Ep 43/200 | Train Loss: 0.2859 | Val Loss: 0.2389 | Test Loss: 0.2389 | Train: 99.0% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.5% | Val-Best: 93.8%
Ep 44/200 | Train Loss: 0.2848 | Val Loss: 0.2341 | Test Loss: 0.2341 | Train: 99.1% | Val: 93.4% | Test: 93.4% | Val-Avg10: 93.5% | Val-Best: 93.8%
Ep 45/200 | Train Loss: 0.2865 | Val Loss: 0.2356 | Test Loss: 0.2356 | Train: 99.0% | Val: 93.5% | Test: 93.5% | Val-Avg10: 93.5% | Val-Best: 93.8%
Ep 46/200 | Train Loss: 0.2866 | Val Loss: 0.2374 | Test Loss: 0.2374 | Train: 99.0% | Val: 93.4% | Test: 93.4% | Val-Avg10: 93.5% | Val-Best: 93.8%
Ep 47/200 | Train Loss: 0.2861 | Val Loss: 0.2316 | Test Loss: 0.2316 | Train: 99.0% | Val: 93.9% | Test: 93.9% | Val-Avg10: 93.5% | Val-Best: 93.9%
Ep 48/200 | Train Loss: 0.2874 | Val Loss: 0.2211 | Test Loss: 0.2211 | Train: 99.0% | Val: 94.0% | Test: 94.0% | Val-Avg10: 93.6% | Val-Best: 94.0%
Ep 49/200 | Train Loss: 0.2850 | Val Loss: 0.2236 | Test Loss: 0.2236 | Train: 99.2% | Val: 94.0% | Test: 94.0% | Val-Avg10: 93.6% | Val-Best: 94.0%
Ep 50/200 | Train Loss: 0.2870 | Val Loss: 0.2285 | Test Loss: 0.2285 | Train: 99.1% | Val: 93.6% | Test: 93.6% | Val-Avg10: 93.6% | Val-Best: 94.0%
Ep 51/200 | Train Loss: 0.2844 | Val Loss: 0.2148 | Test Loss: 0.2148 | Train: 99.2% | Val: 94.1% | Test: 94.1% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 52/200 | Train Loss: 0.2849 | Val Loss: 0.2310 | Test Loss: 0.2310 | Train: 99.1% | Val: 93.5% | Test: 93.5% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 53/200 | Train Loss: 0.2863 | Val Loss: 0.2305 | Test Loss: 0.2305 | Train: 99.0% | Val: 93.7% | Test: 93.7% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 54/200 | Train Loss: 0.2866 | Val Loss: 0.2395 | Test Loss: 0.2395 | Train: 99.1% | Val: 93.4% | Test: 93.4% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 55/200 | Train Loss: 0.2863 | Val Loss: 0.2383 | Test Loss: 0.2383 | Train: 99.0% | Val: 93.6% | Test: 93.6% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 56/200 | Train Loss: 0.2877 | Val Loss: 0.2411 | Test Loss: 0.2411 | Train: 99.0% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 57/200 | Train Loss: 0.2871 | Val Loss: 0.2301 | Test Loss: 0.2301 | Train: 99.1% | Val: 93.5% | Test: 93.5% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 58/200 | Train Loss: 0.2883 | Val Loss: 0.2252 | Test Loss: 0.2252 | Train: 99.0% | Val: 94.0% | Test: 94.0% | Val-Avg10: 93.7% | Val-Best: 94.1%
Ep 59/200 | Train Loss: 0.2892 | Val Loss: 0.2529 | Test Loss: 0.2529 | Train: 99.0% | Val: 93.1% | Test: 93.1% | Val-Avg10: 93.6% | Val-Best: 94.1%
Ep 60/200 | Train Loss: 0.2870 | Val Loss: 0.2461 | Test Loss: 0.2461 | Train: 99.0% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.5% | Val-Best: 94.1%
Ep 61/200 | Train Loss: 0.2900 | Val Loss: 0.2277 | Test Loss: 0.2277 | Train: 98.9% | Val: 93.6% | Test: 93.6% | Val-Avg10: 93.5% | Val-Best: 94.1%
Ep 62/200 | Train Loss: 0.2895 | Val Loss: 0.2367 | Test Loss: 0.2367 | Train: 99.0% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.5% | Val-Best: 94.1%
Ep 63/200 | Train Loss: 0.2887 | Val Loss: 0.2573 | Test Loss: 0.2573 | Train: 99.0% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.4% | Val-Best: 94.1%
Ep 64/200 | Train Loss: 0.2883 | Val Loss: 0.2636 | Test Loss: 0.2636 | Train: 99.0% | Val: 93.0% | Test: 93.0% | Val-Avg10: 93.4% | Val-Best: 94.1%
Ep 65/200 | Train Loss: 0.2925 | Val Loss: 0.2747 | Test Loss: 0.2747 | Train: 98.9% | Val: 92.9% | Test: 92.9% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 66/200 | Train Loss: 0.2914 | Val Loss: 0.2408 | Test Loss: 0.2408 | Train: 98.9% | Val: 93.5% | Test: 93.5% | Val-Avg10: 93.4% | Val-Best: 94.1%
Ep 67/200 | Train Loss: 0.2914 | Val Loss: 0.2392 | Test Loss: 0.2392 | Train: 98.8% | Val: 93.5% | Test: 93.5% | Val-Avg10: 93.4% | Val-Best: 94.1%
Ep 68/200 | Train Loss: 0.2924 | Val Loss: 0.2381 | Test Loss: 0.2381 | Train: 98.8% | Val: 93.8% | Test: 93.8% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 69/200 | Train Loss: 0.2917 | Val Loss: 0.2273 | Test Loss: 0.2273 | Train: 98.8% | Val: 93.7% | Test: 93.7% | Val-Avg10: 93.4% | Val-Best: 94.1%
Ep 70/200 | Train Loss: 0.2923 | Val Loss: 0.2531 | Test Loss: 0.2531 | Train: 98.8% | Val: 93.0% | Test: 93.0% | Val-Avg10: 93.4% | Val-Best: 94.1%
Ep 71/200 | Train Loss: 0.2941 | Val Loss: 0.2437 | Test Loss: 0.2437 | Train: 98.7% | Val: 93.1% | Test: 93.1% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 72/200 | Train Loss: 0.2926 | Val Loss: 0.2424 | Test Loss: 0.2424 | Train: 98.8% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 73/200 | Train Loss: 0.2916 | Val Loss: 0.2567 | Test Loss: 0.2567 | Train: 98.8% | Val: 92.9% | Test: 92.9% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 74/200 | Train Loss: 0.2930 | Val Loss: 0.2395 | Test Loss: 0.2395 | Train: 98.8% | Val: 93.8% | Test: 93.8% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 75/200 | Train Loss: 0.2941 | Val Loss: 0.2565 | Test Loss: 0.2565 | Train: 98.7% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.4% | Val-Best: 94.1%
Ep 76/200 | Train Loss: 0.2933 | Val Loss: 0.2474 | Test Loss: 0.2474 | Train: 98.8% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 77/200 | Train Loss: 0.2947 | Val Loss: 0.2523 | Test Loss: 0.2523 | Train: 98.7% | Val: 93.0% | Test: 93.0% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 78/200 | Train Loss: 0.2952 | Val Loss: 0.2590 | Test Loss: 0.2590 | Train: 98.6% | Val: 93.0% | Test: 93.0% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 79/200 | Train Loss: 0.2956 | Val Loss: 0.2492 | Test Loss: 0.2492 | Train: 98.6% | Val: 93.6% | Test: 93.6% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 80/200 | Train Loss: 0.2966 | Val Loss: 0.2479 | Test Loss: 0.2479 | Train: 98.6% | Val: 93.1% | Test: 93.1% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 81/200 | Train Loss: 0.2931 | Val Loss: 0.2411 | Test Loss: 0.2411 | Train: 98.7% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 82/200 | Train Loss: 0.2934 | Val Loss: 0.2435 | Test Loss: 0.2435 | Train: 98.5% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 83/200 | Train Loss: 0.2958 | Val Loss: 0.2549 | Test Loss: 0.2549 | Train: 98.6% | Val: 93.2% | Test: 93.2% | Val-Avg10: 93.3% | Val-Best: 94.1%
Ep 84/200 | Train Loss: 0.2960 | Val Loss: 0.2578 | Test Loss: 0.2578 | Train: 98.6% | Val: 93.0% | Test: 93.0% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 85/200 | Train Loss: 0.2955 | Val Loss: 0.2564 | Test Loss: 0.2564 | Train: 98.5% | Val: 93.1% | Test: 93.1% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 86/200 | Train Loss: 0.2976 | Val Loss: 0.2550 | Test Loss: 0.2550 | Train: 98.5% | Val: 93.1% | Test: 93.1% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 87/200 | Train Loss: 0.2965 | Val Loss: 0.2600 | Test Loss: 0.2600 | Train: 98.5% | Val: 92.8% | Test: 92.8% | Val-Avg10: 93.1% | Val-Best: 94.1%
Ep 88/200 | Train Loss: 0.2965 | Val Loss: 0.2407 | Test Loss: 0.2407 | Train: 98.5% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.2% | Val-Best: 94.1%
Ep 89/200 | Train Loss: 0.2951 | Val Loss: 0.2437 | Test Loss: 0.2437 | Train: 98.6% | Val: 93.0% | Test: 93.0% | Val-Avg10: 93.1% | Val-Best: 94.1%
Ep 90/200 | Train Loss: 0.2963 | Val Loss: 0.2497 | Test Loss: 0.2497 | Train: 98.5% | Val: 93.3% | Test: 93.3% | Val-Avg10: 93.1% | Val-Best: 94.1%
Ep 91/200 | Train Loss: 0.2953 | Val Loss: 0.2613 | Test Loss: 0.2613 | Train: 98.5% | Val: 92.6% | Test: 92.6% | Val-Avg10: 93.1% | Val-Best: 94.1%
Ep 92/200 | Train Loss: 0.2964 | Val Loss: 0.2769 | Test Loss: 0.2769 | Train: 98.4% | Val: 92.5% | Test: 92.5% | Val-Avg10: 93.0% | Val-Best: 94.1%
Ep 93/200 | Train Loss: 0.2972 | Val Loss: 0.2774 | Test Loss: 0.2774 | Train: 98.5% | Val: 92.6% | Test: 92.6% | Val-Avg10: 92.9% | Val-Best: 94.1%
Ep 94/200 | Train Loss: 0.2952 | Val Loss: 0.2796 | Test Loss: 0.2796 | Train: 98.5% | Val: 92.5% | Test: 92.5% | Val-Avg10: 92.9% | Val-Best: 94.1%
Ep 95/200 | Train Loss: 0.3003 | Val Loss: 0.2706 | Test Loss: 0.2706 | Train: 98.3% | Val: 92.7% | Test: 92.7% | Val-Avg10: 92.8% | Val-Best: 94.1%
Ep 96/200 | Train Loss: 0.2979 | Val Loss: 0.2574 | Test Loss: 0.2574 | Train: 98.5% | Val: 93.3% | Test: 93.3% | Val-Avg10: 92.9% | Val-Best: 94.1%
Ep 97/200 | Train Loss: 0.2980 | Val Loss: 0.2833 | Test Loss: 0.2833 | Train: 98.4% | Val: 92.3% | Test: 92.3% | Val-Avg10: 92.8% | Val-Best: 94.1%
Ep 98/200 | Train Loss: 0.2970 | Val Loss: 0.2436 | Test Loss: 0.2436 | Train: 98.4% | Val: 93.3% | Test: 93.3% | Val-Avg10: 92.8% | Val-Best: 94.1%
Ep 99/200 | Train Loss: 0.2984 | Val Loss: 0.2696 | Test Loss: 0.2696 | Train: 98.4% | Val: 92.7% | Test: 92.7% | Val-Avg10: 92.8% | Val-Best: 94.1%
