============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260202_101834.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 51/200 | Loss: 0.1349 | Test Loss: 0.3998 | Train: 95.3% | Test: 87.9% | Best: 87.9%
Ep 52/200 | Loss: 0.1319 | Test Loss: 0.4075 | Train: 95.4% | Test: 87.6% | Best: 87.9%
Ep 53/200 | Loss: 0.1324 | Test Loss: 0.4020 | Train: 95.3% | Test: 87.3% | Best: 87.9%
Ep 54/200 | Loss: 0.1263 | Test Loss: 0.3973 | Train: 95.6% | Test: 87.6% | Best: 87.9%
Ep 55/200 | Loss: 0.1268 | Test Loss: 0.4134 | Train: 95.5% | Test: 87.6% | Best: 87.9%
Ep 56/200 | Loss: 0.1204 | Test Loss: 0.3957 | Train: 95.9% | Test: 88.0% | Best: 88.0%
Ep 57/200 | Loss: 0.1184 | Test Loss: 0.3737 | Train: 96.0% | Test: 88.4% | Best: 88.4%
Ep 58/200 | Loss: 0.1183 | Test Loss: 0.4241 | Train: 95.9% | Test: 87.1% | Best: 88.4%
Ep 59/200 | Loss: 0.1167 | Test Loss: 0.3696 | Train: 95.9% | Test: 88.8% | Best: 88.8%
Ep 60/200 | Loss: 0.1113 | Test Loss: 0.3819 | Train: 96.2% | Test: 88.2% | Best: 88.8%
Ep 61/200 | Loss: 0.1123 | Test Loss: 0.3886 | Train: 96.2% | Test: 88.2% | Best: 88.8%
Ep 62/200 | Loss: 0.1083 | Test Loss: 0.3917 | Train: 96.3% | Test: 88.2% | Best: 88.8%
Ep 63/200 | Loss: 0.1064 | Test Loss: 0.4481 | Train: 96.4% | Test: 86.5% | Best: 88.8%
Ep 64/200 | Loss: 0.1104 | Test Loss: 0.3862 | Train: 96.2% | Test: 88.5% | Best: 88.8%
Ep 65/200 | Loss: 0.1044 | Test Loss: 0.3749 | Train: 96.4% | Test: 89.0% | Best: 89.0%
Ep 66/200 | Loss: 0.1010 | Test Loss: 0.3953 | Train: 96.6% | Test: 88.1% | Best: 89.0%
Ep 67/200 | Loss: 0.1016 | Test Loss: 0.3531 | Train: 96.6% | Test: 89.2% | Best: 89.2%
Ep 68/200 | Loss: 0.1003 | Test Loss: 0.3678 | Train: 96.7% | Test: 88.8% | Best: 89.2%
Ep 69/200 | Loss: 0.0985 | Test Loss: 0.3665 | Train: 96.7% | Test: 89.0% | Best: 89.2%
Ep 70/200 | Loss: 0.0959 | Test Loss: 0.4312 | Train: 96.7% | Test: 87.3% | Best: 89.2%
Ep 71/200 | Loss: 0.0967 | Test Loss: 0.3935 | Train: 96.7% | Test: 88.6% | Best: 89.2%
Ep 72/200 | Loss: 0.0965 | Test Loss: 0.3735 | Train: 96.7% | Test: 89.0% | Best: 89.2%
Ep 73/200 | Loss: 0.0945 | Test Loss: 0.4281 | Train: 96.8% | Test: 87.2% | Best: 89.2%
Ep 74/200 | Loss: 0.0925 | Test Loss: 0.3604 | Train: 96.8% | Test: 89.4% | Best: 89.4%
Ep 75/200 | Loss: 0.0888 | Test Loss: 0.3820 | Train: 96.9% | Test: 88.8% | Best: 89.4%
Ep 76/200 | Loss: 0.0903 | Test Loss: 0.4034 | Train: 96.9% | Test: 88.6% | Best: 89.4%
Ep 77/200 | Loss: 0.0901 | Test Loss: 0.3909 | Train: 96.9% | Test: 88.8% | Best: 89.4%
Ep 78/200 | Loss: 0.0881 | Test Loss: 0.4349 | Train: 96.9% | Test: 87.4% | Best: 89.4%
Ep 79/200 | Loss: 0.0887 | Test Loss: 0.3953 | Train: 97.0% | Test: 88.3% | Best: 89.4%
Ep 80/200 | Loss: 0.0876 | Test Loss: 0.3568 | Train: 96.9% | Test: 89.6% | Best: 89.6%
Ep 81/200 | Loss: 0.0869 | Test Loss: 0.4020 | Train: 97.0% | Test: 88.7% | Best: 89.6%
Ep 82/200 | Loss: 0.0845 | Test Loss: 0.3592 | Train: 97.1% | Test: 89.8% | Best: 89.8%
