============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_kan_h2048_e200_20260210_064132.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: KAN | Params: 21,864,512

Group tracking enabled: 4 groups

Ep 29/200 | Loss: 0.2697 | Test Loss: 0.0495 | Train: 99.9% | Test: 98.6% | Avg10: 98.8% | Best: 99.0% | WG: 96.7% | WG-Avg10: 97.0% | WG-Best: 97.7%
Ep 30/200 | Loss: 0.2689 | Test Loss: 0.0379 | Train: 99.9% | Test: 98.9% | Avg10: 98.8% | Best: 99.0% | WG: 97.0% | WG-Avg10: 97.0% | WG-Best: 97.7%
Ep 31/200 | Loss: 0.2688 | Test Loss: 0.0399 | Train: 100.0% | Test: 98.9% | Avg10: 98.8% | Best: 99.0% | WG: 97.5% | WG-Avg10: 97.0% | WG-Best: 97.7%
Ep 32/200 | Loss: 0.2687 | Test Loss: 0.0376 | Train: 100.0% | Test: 99.0% | Avg10: 98.8% | Best: 99.0% | WG: 97.9% | WG-Avg10: 97.1% | WG-Best: 97.7%
Ep 33/200 | Loss: 0.2689 | Test Loss: 0.0541 | Train: 100.0% | Test: 98.6% | Avg10: 98.8% | Best: 99.0% | WG: 96.4% | WG-Avg10: 97.0% | WG-Best: 97.9%
Ep 34/200 | Loss: 0.2695 | Test Loss: 0.0407 | Train: 99.9% | Test: 98.8% | Avg10: 98.8% | Best: 99.0% | WG: 97.0% | WG-Avg10: 97.0% | WG-Best: 97.9%
Ep 35/200 | Loss: 0.2695 | Test Loss: 0.0500 | Train: 99.9% | Test: 98.7% | Avg10: 98.8% | Best: 99.0% | WG: 95.7% | WG-Avg10: 96.8% | WG-Best: 97.9%
Ep 36/200 | Loss: 0.2699 | Test Loss: 0.0388 | Train: 99.9% | Test: 98.9% | Avg10: 98.8% | Best: 99.0% | WG: 97.3% | WG-Avg10: 96.9% | WG-Best: 97.9%
Ep 37/200 | Loss: 0.2694 | Test Loss: 0.0355 | Train: 99.9% | Test: 99.0% | Avg10: 98.8% | Best: 99.0% | WG: 97.7% | WG-Avg10: 96.9% | WG-Best: 97.9%
Ep 38/200 | Loss: 0.2702 | Test Loss: 0.0495 | Train: 99.9% | Test: 98.7% | Avg10: 98.8% | Best: 99.0% | WG: 96.9% | WG-Avg10: 97.0% | WG-Best: 97.9%
Ep 39/200 | Loss: 0.2695 | Test Loss: 0.0298 | Train: 99.9% | Test: 99.2% | Avg10: 98.9% | Best: 99.0% | WG: 98.2% | WG-Avg10: 97.1% | WG-Best: 97.9%
Ep 40/200 | Loss: 0.2695 | Test Loss: 0.0400 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.3% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 41/200 | Loss: 0.2692 | Test Loss: 0.0335 | Train: 100.0% | Test: 99.1% | Avg10: 98.9% | Best: 99.2% | WG: 97.8% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 42/200 | Loss: 0.2707 | Test Loss: 0.0468 | Train: 99.9% | Test: 98.8% | Avg10: 98.9% | Best: 99.2% | WG: 96.6% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 43/200 | Loss: 0.2697 | Test Loss: 0.0344 | Train: 99.9% | Test: 99.1% | Avg10: 98.9% | Best: 99.2% | WG: 98.1% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 44/200 | Loss: 0.2713 | Test Loss: 0.0373 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.2% | WG: 97.5% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 45/200 | Loss: 0.2699 | Test Loss: 0.0459 | Train: 99.9% | Test: 98.7% | Avg10: 99.0% | Best: 99.2% | WG: 97.1% | WG-Avg10: 97.4% | WG-Best: 98.2%
Ep 46/200 | Loss: 0.2706 | Test Loss: 0.0349 | Train: 99.9% | Test: 99.1% | Avg10: 99.0% | Best: 99.2% | WG: 98.1% | WG-Avg10: 97.5% | WG-Best: 98.2%
Ep 47/200 | Loss: 0.2704 | Test Loss: 0.0443 | Train: 99.9% | Test: 98.9% | Avg10: 99.0% | Best: 99.2% | WG: 97.2% | WG-Avg10: 97.5% | WG-Best: 98.2%
Ep 48/200 | Loss: 0.2708 | Test Loss: 0.0399 | Train: 99.9% | Test: 99.0% | Avg10: 99.0% | Best: 99.2% | WG: 97.9% | WG-Avg10: 97.6% | WG-Best: 98.2%
