============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.001
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260213_213951.txt
WandB: enabled
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 0.8715 | Test Loss: 0.4388 | Train: 77.3% | Test: 79.2% | Avg10: 79.2% | Best: 79.2% | WG: 11.8% | WG-Avg10: 11.8% | WG-Best: 11.8%
Ep 2/200 | Loss: 0.2476 | Test Loss: 0.4728 | Train: 93.9% | Test: 76.3% | Avg10: 77.7% | Best: 79.2% | WG: 20.2% | WG-Avg10: 16.0% | WG-Best: 20.2%
Ep 3/200 | Loss: 0.1700 | Test Loss: 0.4788 | Train: 95.0% | Test: 77.1% | Avg10: 77.5% | Best: 79.2% | WG: 28.7% | WG-Avg10: 20.2% | WG-Best: 28.7%
Ep 4/200 | Loss: 0.1460 | Test Loss: 0.4779 | Train: 95.5% | Test: 77.8% | Avg10: 77.6% | Best: 79.2% | WG: 34.3% | WG-Avg10: 23.8% | WG-Best: 34.3%
Ep 5/200 | Loss: 0.1345 | Test Loss: 0.4362 | Train: 95.9% | Test: 80.3% | Avg10: 78.1% | Best: 80.3% | WG: 34.3% | WG-Avg10: 25.9% | WG-Best: 34.3%
Ep 6/200 | Loss: 0.1275 | Test Loss: 0.4514 | Train: 96.2% | Test: 80.1% | Avg10: 78.4% | Best: 80.3% | WG: 41.1% | WG-Avg10: 28.4% | WG-Best: 41.1%
Ep 7/200 | Loss: 0.1188 | Test Loss: 0.4365 | Train: 96.1% | Test: 81.0% | Avg10: 78.8% | Best: 81.0% | WG: 41.9% | WG-Avg10: 30.3% | WG-Best: 41.9%
Ep 8/200 | Loss: 0.1134 | Test Loss: 0.4406 | Train: 96.8% | Test: 81.4% | Avg10: 79.1% | Best: 81.4% | WG: 45.3% | WG-Avg10: 32.2% | WG-Best: 45.3%
Ep 9/200 | Loss: 0.1022 | Test Loss: 0.4490 | Train: 97.3% | Test: 81.3% | Avg10: 79.4% | Best: 81.4% | WG: 46.1% | WG-Avg10: 33.7% | WG-Best: 46.1%
Ep 10/200 | Loss: 0.1005 | Test Loss: 0.4460 | Train: 97.3% | Test: 81.5% | Avg10: 79.6% | Best: 81.5% | WG: 49.2% | WG-Avg10: 35.3% | WG-Best: 49.2%
Ep 11/200 | Loss: 0.0958 | Test Loss: 0.4248 | Train: 97.4% | Test: 82.5% | Avg10: 79.9% | Best: 82.5% | WG: 48.0% | WG-Avg10: 38.9% | WG-Best: 49.2%
