============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_mlp_h2048_e200_20260208_165430.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: MLP | Params: 12,235,330

Group tracking enabled: 4 groups

Ep 29/200 | Loss: 0.0038 | Test Loss: 0.6452 | Train: 99.9% | Test: 87.0% | Avg10: 87.0% | Best: 89.4% | WG: 55.9% | WG-Avg10: 64.7% | WG-Best: 69.6%
Ep 30/200 | Loss: 0.0022 | Test Loss: 0.5769 | Train: 100.0% | Test: 88.1% | Avg10: 87.3% | Best: 89.4% | WG: 57.6% | WG-Avg10: 63.8% | WG-Best: 69.6%
Ep 31/200 | Loss: 0.0008 | Test Loss: 0.5725 | Train: 100.0% | Test: 88.5% | Avg10: 87.5% | Best: 89.4% | WG: 69.2% | WG-Avg10: 63.8% | WG-Best: 69.6%
Ep 32/200 | Loss: 0.0010 | Test Loss: 0.6680 | Train: 100.0% | Test: 86.7% | Avg10: 87.4% | Best: 89.4% | WG: 65.3% | WG-Avg10: 64.0% | WG-Best: 69.6%
Ep 33/200 | Loss: 0.0009 | Test Loss: 0.6848 | Train: 100.0% | Test: 86.3% | Avg10: 87.3% | Best: 89.4% | WG: 58.6% | WG-Avg10: 63.8% | WG-Best: 69.6%
Ep 34/200 | Loss: 0.0020 | Test Loss: 0.7172 | Train: 99.9% | Test: 85.9% | Avg10: 87.1% | Best: 89.4% | WG: 57.9% | WG-Avg10: 62.8% | WG-Best: 69.6%
Ep 35/200 | Loss: 0.0015 | Test Loss: 0.6071 | Train: 99.9% | Test: 87.8% | Avg10: 86.9% | Best: 89.4% | WG: 59.2% | WG-Avg10: 62.0% | WG-Best: 69.6%
Ep 36/200 | Loss: 0.0007 | Test Loss: 0.6228 | Train: 100.0% | Test: 87.3% | Avg10: 87.0% | Best: 89.4% | WG: 60.9% | WG-Avg10: 61.3% | WG-Best: 69.6%
Ep 37/200 | Loss: 0.0014 | Test Loss: 0.5952 | Train: 100.0% | Test: 88.3% | Avg10: 87.2% | Best: 89.4% | WG: 55.5% | WG-Avg10: 60.2% | WG-Best: 69.6%
Ep 38/200 | Loss: 0.0012 | Test Loss: 0.6871 | Train: 99.9% | Test: 86.5% | Avg10: 87.2% | Best: 89.4% | WG: 64.2% | WG-Avg10: 60.4% | WG-Best: 69.6%
Ep 39/200 | Loss: 0.0006 | Test Loss: 0.6199 | Train: 100.0% | Test: 87.7% | Avg10: 87.3% | Best: 89.4% | WG: 58.4% | WG-Avg10: 60.7% | WG-Best: 69.6%
Ep 40/200 | Loss: 0.0004 | Test Loss: 0.6276 | Train: 100.0% | Test: 87.8% | Avg10: 87.3% | Best: 89.4% | WG: 55.0% | WG-Avg10: 60.4% | WG-Best: 69.6%
Ep 41/200 | Loss: 0.0019 | Test Loss: 0.5693 | Train: 100.0% | Test: 88.3% | Avg10: 87.2% | Best: 89.4% | WG: 64.5% | WG-Avg10: 59.9% | WG-Best: 69.6%
