============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.001
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260213_173616.txt
WandB: enabled
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 4.4562 | Test Loss: 0.4409 | Train: 75.1% | Test: 80.2% | Avg10: 80.2% | Best: 80.2% | WG: 5.5% | WG-Avg10: 5.5% | WG-Best: 5.5%
Ep 2/200 | Loss: 0.7343 | Test Loss: 0.4431 | Train: 90.9% | Test: 78.2% | Avg10: 79.2% | Best: 80.2% | WG: 14.6% | WG-Avg10: 10.0% | WG-Best: 14.6%
Ep 3/200 | Loss: 0.4338 | Test Loss: 0.4548 | Train: 93.6% | Test: 76.7% | Avg10: 78.4% | Best: 80.2% | WG: 18.2% | WG-Avg10: 12.8% | WG-Best: 18.2%
Ep 4/200 | Loss: 0.4055 | Test Loss: 0.4684 | Train: 94.2% | Test: 75.8% | Avg10: 77.7% | Best: 80.2% | WG: 20.9% | WG-Avg10: 14.8% | WG-Best: 20.9%
Ep 5/200 | Loss: 0.3931 | Test Loss: 0.4533 | Train: 94.5% | Test: 77.1% | Avg10: 77.6% | Best: 80.2% | WG: 20.2% | WG-Avg10: 15.9% | WG-Best: 20.9%
Ep 6/200 | Loss: 0.3835 | Test Loss: 0.4728 | Train: 94.5% | Test: 75.7% | Avg10: 77.3% | Best: 80.2% | WG: 21.8% | WG-Avg10: 16.9% | WG-Best: 21.8%
Ep 7/200 | Loss: 0.3741 | Test Loss: 0.4701 | Train: 94.3% | Test: 76.0% | Avg10: 77.1% | Best: 80.2% | WG: 22.3% | WG-Avg10: 17.6% | WG-Best: 22.3%
Ep 8/200 | Loss: 0.3687 | Test Loss: 0.4778 | Train: 94.9% | Test: 75.8% | Avg10: 76.9% | Best: 80.2% | WG: 24.1% | WG-Avg10: 18.5% | WG-Best: 24.1%
Ep 9/200 | Loss: 0.3576 | Test Loss: 0.4782 | Train: 95.4% | Test: 76.0% | Avg10: 76.8% | Best: 80.2% | WG: 23.7% | WG-Avg10: 19.0% | WG-Best: 24.1%
Ep 10/200 | Loss: 0.3581 | Test Loss: 0.4852 | Train: 95.2% | Test: 75.8% | Avg10: 76.7% | Best: 80.2% | WG: 26.5% | WG-Avg10: 19.8% | WG-Best: 26.5%
Ep 11/200 | Loss: 0.3541 | Test Loss: 0.4684 | Train: 95.3% | Test: 76.8% | Avg10: 76.4% | Best: 80.2% | WG: 25.2% | WG-Avg10: 21.8% | WG-Best: 26.5%
Ep 12/200 | Loss: 0.3543 | Test Loss: 0.4799 | Train: 94.7% | Test: 76.3% | Avg10: 76.2% | Best: 80.2% | WG: 27.4% | WG-Avg10: 23.0% | WG-Best: 27.4%
Ep 13/200 | Loss: 0.3421 | Test Loss: 0.4710 | Train: 95.7% | Test: 77.0% | Avg10: 76.2% | Best: 80.2% | WG: 28.2% | WG-Avg10: 24.0% | WG-Best: 28.2%
Ep 14/200 | Loss: 0.3446 | Test Loss: 0.4761 | Train: 95.4% | Test: 76.8% | Avg10: 76.3% | Best: 80.2% | WG: 29.1% | WG-Avg10: 24.9% | WG-Best: 29.1%
Ep 15/200 | Loss: 0.3415 | Test Loss: 0.4790 | Train: 95.5% | Test: 76.9% | Avg10: 76.3% | Best: 80.2% | WG: 30.5% | WG-Avg10: 25.9% | WG-Best: 30.5%
Ep 16/200 | Loss: 0.3384 | Test Loss: 0.4755 | Train: 95.7% | Test: 77.2% | Avg10: 76.5% | Best: 80.2% | WG: 30.7% | WG-Avg10: 26.8% | WG-Best: 30.7%
Ep 17/200 | Loss: 0.3371 | Test Loss: 0.4643 | Train: 95.8% | Test: 77.8% | Avg10: 76.6% | Best: 80.2% | WG: 31.2% | WG-Avg10: 27.7% | WG-Best: 31.2%
Ep 18/200 | Loss: 0.3326 | Test Loss: 0.4668 | Train: 96.1% | Test: 77.8% | Avg10: 76.8% | Best: 80.2% | WG: 31.2% | WG-Avg10: 28.4% | WG-Best: 31.2%
Ep 19/200 | Loss: 0.3258 | Test Loss: 0.4630 | Train: 96.1% | Test: 78.1% | Avg10: 77.1% | Best: 80.2% | WG: 32.6% | WG-Avg10: 29.3% | WG-Best: 32.6%
Ep 20/200 | Loss: 0.3300 | Test Loss: 0.4660 | Train: 96.0% | Test: 78.0% | Avg10: 77.3% | Best: 80.2% | WG: 33.8% | WG-Avg10: 30.0% | WG-Best: 33.8%
