============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 1
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260209_191956.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 0.2083 | Test Loss: 0.4100 | Train: 91.3% | Test: 84.9% | Avg10: 84.9% | Best: 0.0% | WG: 47.2% | WG-Avg10: 47.2% | WG-Best: 0.0%
Ep 2/200 | Loss: 0.0863 | Test Loss: 0.4163 | Train: 96.6% | Test: 85.0% | Avg10: 85.0% | Best: 84.9% | WG: 63.6% | WG-Avg10: 55.4% | WG-Best: 47.2%
Ep 3/200 | Loss: 0.0470 | Test Loss: 0.6197 | Train: 98.5% | Test: 79.5% | Avg10: 83.1% | Best: 85.0% | WG: 59.8% | WG-Avg10: 56.9% | WG-Best: 63.6%
Ep 4/200 | Loss: 0.0376 | Test Loss: 0.5112 | Train: 99.0% | Test: 84.5% | Avg10: 83.5% | Best: 85.0% | WG: 67.9% | WG-Avg10: 59.6% | WG-Best: 63.6%
Ep 5/200 | Loss: 0.0234 | Test Loss: 0.5994 | Train: 99.3% | Test: 82.7% | Avg10: 83.3% | Best: 85.0% | WG: 67.0% | WG-Avg10: 61.1% | WG-Best: 67.9%
Ep 6/200 | Loss: 0.0161 | Test Loss: 0.4870 | Train: 99.6% | Test: 86.7% | Avg10: 83.9% | Best: 85.0% | WG: 61.8% | WG-Avg10: 61.2% | WG-Best: 67.9%
Ep 7/200 | Loss: 0.0119 | Test Loss: 0.5237 | Train: 99.5% | Test: 85.7% | Avg10: 84.2% | Best: 86.7% | WG: 65.1% | WG-Avg10: 61.8% | WG-Best: 67.9%
Ep 8/200 | Loss: 0.0095 | Test Loss: 0.4732 | Train: 99.7% | Test: 87.9% | Avg10: 84.6% | Best: 86.7% | WG: 57.2% | WG-Avg10: 61.2% | WG-Best: 67.9%
Ep 9/200 | Loss: 0.0087 | Test Loss: 0.5656 | Train: 99.7% | Test: 86.2% | Avg10: 84.8% | Best: 87.9% | WG: 58.9% | WG-Avg10: 60.9% | WG-Best: 67.9%
Ep 10/200 | Loss: 0.0067 | Test Loss: 0.5268 | Train: 99.7% | Test: 87.0% | Avg10: 85.0% | Best: 87.9% | WG: 60.3% | WG-Avg10: 60.9% | WG-Best: 67.9%
Ep 11/200 | Loss: 0.0060 | Test Loss: 0.5868 | Train: 99.8% | Test: 86.6% | Avg10: 85.2% | Best: 87.9% | WG: 63.2% | WG-Avg10: 62.5% | WG-Best: 67.9%
Ep 12/200 | Loss: 0.0039 | Test Loss: 0.7300 | Train: 99.9% | Test: 83.8% | Avg10: 85.1% | Best: 87.9% | WG: 59.3% | WG-Avg10: 62.1% | WG-Best: 67.9%
Ep 13/200 | Loss: 0.0065 | Test Loss: 0.5441 | Train: 99.8% | Test: 87.8% | Avg10: 85.9% | Best: 87.9% | WG: 58.7% | WG-Avg10: 61.9% | WG-Best: 67.9%
Ep 14/200 | Loss: 0.0043 | Test Loss: 0.5194 | Train: 99.8% | Test: 88.4% | Avg10: 86.3% | Best: 87.9% | WG: 61.8% | WG-Avg10: 61.3% | WG-Best: 67.9%
Ep 15/200 | Loss: 0.0048 | Test Loss: 0.6161 | Train: 99.9% | Test: 86.8% | Avg10: 86.7% | Best: 88.4% | WG: 66.0% | WG-Avg10: 61.2% | WG-Best: 67.9%
Ep 16/200 | Loss: 0.0048 | Test Loss: 0.8228 | Train: 99.8% | Test: 83.4% | Avg10: 86.4% | Best: 88.4% | WG: 61.5% | WG-Avg10: 61.2% | WG-Best: 67.9%
Ep 17/200 | Loss: 0.0047 | Test Loss: 0.5901 | Train: 99.8% | Test: 87.0% | Avg10: 86.5% | Best: 88.4% | WG: 62.6% | WG-Avg10: 61.0% | WG-Best: 67.9%
Ep 18/200 | Loss: 0.0037 | Test Loss: 0.6140 | Train: 99.9% | Test: 86.9% | Avg10: 86.4% | Best: 88.4% | WG: 66.4% | WG-Avg10: 61.9% | WG-Best: 67.9%
Ep 19/200 | Loss: 0.0023 | Test Loss: 0.6205 | Train: 99.9% | Test: 86.8% | Avg10: 86.5% | Best: 88.4% | WG: 63.2% | WG-Avg10: 62.3% | WG-Best: 67.9%
Ep 20/200 | Loss: 0.0038 | Test Loss: 0.6134 | Train: 99.9% | Test: 87.0% | Avg10: 86.5% | Best: 88.4% | WG: 61.2% | WG-Avg10: 62.4% | WG-Best: 67.9%
Ep 21/200 | Loss: 0.0022 | Test Loss: 0.5839 | Train: 100.0% | Test: 87.5% | Avg10: 86.6% | Best: 88.4% | WG: 65.3% | WG-Avg10: 62.6% | WG-Best: 67.9%
Ep 22/200 | Loss: 0.0011 | Test Loss: 0.5988 | Train: 100.0% | Test: 87.8% | Avg10: 87.0% | Best: 88.4% | WG: 65.0% | WG-Avg10: 63.2% | WG-Best: 67.9%
Ep 23/200 | Loss: 0.0007 | Test Loss: 0.5514 | Train: 100.0% | Test: 89.0% | Avg10: 87.1% | Best: 88.4% | WG: 63.9% | WG-Avg10: 63.7% | WG-Best: 67.9%
Ep 24/200 | Loss: 0.0009 | Test Loss: 0.6228 | Train: 100.0% | Test: 87.6% | Avg10: 87.0% | Best: 89.0% | WG: 63.7% | WG-Avg10: 63.9% | WG-Best: 67.9%
Ep 25/200 | Loss: 0.0016 | Test Loss: 0.6487 | Train: 100.0% | Test: 87.0% | Avg10: 87.0% | Best: 89.0% | WG: 63.2% | WG-Avg10: 63.6% | WG-Best: 67.9%
Ep 26/200 | Loss: 0.0009 | Test Loss: 0.6663 | Train: 100.0% | Test: 86.9% | Avg10: 87.4% | Best: 89.0% | WG: 67.8% | WG-Avg10: 64.2% | WG-Best: 67.9%
Ep 27/200 | Loss: 0.0035 | Test Loss: 0.5443 | Train: 99.9% | Test: 89.3% | Avg10: 87.6% | Best: 89.0% | WG: 62.3% | WG-Avg10: 64.2% | WG-Best: 67.9%
Ep 28/200 | Loss: 0.0014 | Test Loss: 0.6342 | Train: 99.9% | Test: 87.2% | Avg10: 87.6% | Best: 89.3% | WG: 73.2% | WG-Avg10: 64.9% | WG-Best: 67.9%
