============================================================
Training Configuration
============================================================
Dataset: metashift
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_kan_h2048_e200_20260203_165938.txt
============================================================

Dataset: METASHIFT | Device: cuda | Model: KAN | Params: 21,700,672

Ep 51/200 | Loss: 0.2405 | Test Loss: 0.5526 | Train: 89.7% | Test: 78.6% | Best: 82.5%
Ep 52/200 | Loss: 0.2298 | Test Loss: 0.6875 | Train: 90.2% | Test: 75.4% | Best: 82.5%
Ep 53/200 | Loss: 0.2221 | Test Loss: 0.4517 | Train: 90.6% | Test: 82.8% | Best: 82.8%
Ep 54/200 | Loss: 0.2289 | Test Loss: 0.4766 | Train: 90.5% | Test: 81.5% | Best: 82.8%
Ep 55/200 | Loss: 0.2129 | Test Loss: 0.4714 | Train: 91.0% | Test: 81.0% | Best: 82.8%
Ep 56/200 | Loss: 0.2123 | Test Loss: 0.5174 | Train: 91.3% | Test: 80.8% | Best: 82.8%
Ep 57/200 | Loss: 0.2061 | Test Loss: 0.5429 | Train: 91.5% | Test: 81.1% | Best: 82.8%
Ep 58/200 | Loss: 0.1959 | Test Loss: 0.4514 | Train: 91.9% | Test: 83.5% | Best: 83.5%
Ep 59/200 | Loss: 0.1995 | Test Loss: 0.4586 | Train: 91.5% | Test: 82.3% | Best: 83.5%
Ep 60/200 | Loss: 0.1992 | Test Loss: 0.5028 | Train: 91.8% | Test: 81.0% | Best: 83.5%
Ep 61/200 | Loss: 0.1892 | Test Loss: 0.5427 | Train: 92.1% | Test: 78.4% | Best: 83.5%
Ep 62/200 | Loss: 0.1804 | Test Loss: 0.4660 | Train: 92.4% | Test: 82.5% | Best: 83.5%
Ep 63/200 | Loss: 0.1809 | Test Loss: 0.4944 | Train: 92.5% | Test: 81.8% | Best: 83.5%
Ep 64/200 | Loss: 0.1714 | Test Loss: 0.4530 | Train: 92.9% | Test: 83.4% | Best: 83.5%
Ep 65/200 | Loss: 0.1681 | Test Loss: 0.4893 | Train: 92.9% | Test: 82.0% | Best: 83.5%
Ep 66/200 | Loss: 0.1631 | Test Loss: 0.4725 | Train: 93.5% | Test: 82.7% | Best: 83.5%
Ep 67/200 | Loss: 0.1584 | Test Loss: 0.5067 | Train: 93.5% | Test: 82.0% | Best: 83.5%
Ep 68/200 | Loss: 0.1628 | Test Loss: 0.4954 | Train: 93.5% | Test: 82.5% | Best: 83.5%
Ep 69/200 | Loss: 0.1578 | Test Loss: 0.4795 | Train: 93.8% | Test: 84.2% | Best: 84.2%
Ep 70/200 | Loss: 0.1583 | Test Loss: 0.5360 | Train: 93.6% | Test: 82.0% | Best: 84.2%
Ep 71/200 | Loss: 0.1544 | Test Loss: 0.5671 | Train: 93.6% | Test: 81.5% | Best: 84.2%
Ep 72/200 | Loss: 0.1513 | Test Loss: 0.5146 | Train: 93.7% | Test: 82.5% | Best: 84.2%
Ep 73/200 | Loss: 0.1497 | Test Loss: 0.4940 | Train: 94.0% | Test: 82.2% | Best: 84.2%
Ep 74/200 | Loss: 0.1299 | Test Loss: 0.5063 | Train: 94.8% | Test: 83.2% | Best: 84.2%
Ep 75/200 | Loss: 0.1454 | Test Loss: 0.6049 | Train: 94.2% | Test: 81.8% | Best: 84.2%
Ep 76/200 | Loss: 0.1376 | Test Loss: 0.6905 | Train: 94.7% | Test: 80.3% | Best: 84.2%
Ep 77/200 | Loss: 0.1233 | Test Loss: 0.5428 | Train: 95.1% | Test: 82.3% | Best: 84.2%
Ep 78/200 | Loss: 0.1252 | Test Loss: 0.5119 | Train: 95.2% | Test: 83.4% | Best: 84.2%
Ep 79/200 | Loss: 0.1250 | Test Loss: 0.4972 | Train: 95.2% | Test: 83.9% | Best: 84.2%
Ep 80/200 | Loss: 0.1147 | Test Loss: 0.5550 | Train: 95.4% | Test: 82.8% | Best: 84.2%
Ep 81/200 | Loss: 0.1205 | Test Loss: 0.4952 | Train: 95.0% | Test: 84.5% | Best: 84.5%
Ep 82/200 | Loss: 0.1040 | Test Loss: 0.6052 | Train: 95.8% | Test: 81.9% | Best: 84.5%
Ep 83/200 | Loss: 0.1203 | Test Loss: 0.5186 | Train: 95.4% | Test: 84.1% | Best: 84.5%
Ep 84/200 | Loss: 0.1204 | Test Loss: 0.5872 | Train: 95.0% | Test: 80.1% | Best: 84.5%
Ep 85/200 | Loss: 0.1097 | Test Loss: 0.5136 | Train: 95.8% | Test: 83.9% | Best: 84.5%
Ep 86/200 | Loss: 0.1180 | Test Loss: 0.5889 | Train: 95.5% | Test: 82.8% | Best: 84.5%
Ep 87/200 | Loss: 0.1096 | Test Loss: 0.6039 | Train: 95.7% | Test: 83.1% | Best: 84.5%
Ep 88/200 | Loss: 0.0984 | Test Loss: 0.6614 | Train: 96.2% | Test: 82.3% | Best: 84.5%
Ep 89/200 | Loss: 0.1069 | Test Loss: 0.5072 | Train: 95.9% | Test: 84.0% | Best: 84.5%
Ep 90/200 | Loss: 0.1000 | Test Loss: 0.5489 | Train: 96.2% | Test: 83.2% | Best: 84.5%
Ep 91/200 | Loss: 0.1032 | Test Loss: 0.5878 | Train: 95.9% | Test: 82.2% | Best: 84.5%
Ep 92/200 | Loss: 0.1003 | Test Loss: 0.7033 | Train: 96.3% | Test: 79.8% | Best: 84.5%
Ep 93/200 | Loss: 0.0986 | Test Loss: 0.6002 | Train: 96.3% | Test: 83.8% | Best: 84.5%
Ep 94/200 | Loss: 0.0899 | Test Loss: 0.7034 | Train: 96.6% | Test: 82.7% | Best: 84.5%
Ep 95/200 | Loss: 0.0886 | Test Loss: 0.6901 | Train: 96.4% | Test: 81.3% | Best: 84.5%
Ep 96/200 | Loss: 0.0874 | Test Loss: 0.6215 | Train: 96.8% | Test: 81.9% | Best: 84.5%
Ep 97/200 | Loss: 0.0979 | Test Loss: 0.5806 | Train: 96.3% | Test: 83.8% | Best: 84.5%
Ep 98/200 | Loss: 0.0765 | Test Loss: 0.6668 | Train: 97.1% | Test: 82.3% | Best: 84.5%
Ep 99/200 | Loss: 0.0818 | Test Loss: 0.6382 | Train: 96.8% | Test: 83.1% | Best: 84.5%
Ep 100/200 | Loss: 0.0835 | Test Loss: 0.6066 | Train: 96.7% | Test: 83.6% | Best: 84.5%
Ep 101/200 | Loss: 0.0913 | Test Loss: 0.6429 | Train: 96.7% | Test: 83.2% | Best: 84.5%
Ep 102/200 | Loss: 0.0828 | Test Loss: 0.6087 | Train: 96.8% | Test: 84.3% | Best: 84.5%
Ep 103/200 | Loss: 0.0766 | Test Loss: 0.6486 | Train: 97.0% | Test: 84.1% | Best: 84.5%
Ep 104/200 | Loss: 0.0861 | Test Loss: 0.6320 | Train: 96.9% | Test: 82.2% | Best: 84.5%
Ep 105/200 | Loss: 0.0799 | Test Loss: 0.5683 | Train: 96.7% | Test: 84.3% | Best: 84.5%
Ep 106/200 | Loss: 0.0743 | Test Loss: 0.6541 | Train: 97.0% | Test: 83.6% | Best: 84.5%
Ep 107/200 | Loss: 0.0739 | Test Loss: 0.6220 | Train: 97.1% | Test: 84.0% | Best: 84.5%
Ep 108/200 | Loss: 0.0743 | Test Loss: 0.7063 | Train: 97.1% | Test: 81.4% | Best: 84.5%
Ep 109/200 | Loss: 0.0782 | Test Loss: 0.5739 | Train: 97.0% | Test: 85.0% | Best: 85.0%
Ep 110/200 | Loss: 0.0805 | Test Loss: 0.5815 | Train: 97.2% | Test: 84.7% | Best: 85.0%
Ep 111/200 | Loss: 0.0732 | Test Loss: 0.6149 | Train: 97.3% | Test: 84.7% | Best: 85.0%
Ep 112/200 | Loss: 0.0665 | Test Loss: 0.6453 | Train: 97.6% | Test: 84.9% | Best: 85.0%
Ep 113/200 | Loss: 0.0679 | Test Loss: 0.6099 | Train: 97.4% | Test: 85.0% | Best: 85.0%
Ep 114/200 | Loss: 0.0668 | Test Loss: 0.6956 | Train: 97.6% | Test: 84.0% | Best: 85.0%
Ep 115/200 | Loss: 0.0649 | Test Loss: 0.6125 | Train: 97.6% | Test: 84.7% | Best: 85.0%
Ep 116/200 | Loss: 0.0772 | Test Loss: 0.6026 | Train: 97.2% | Test: 84.8% | Best: 85.0%
Ep 117/200 | Loss: 0.0678 | Test Loss: 0.6182 | Train: 97.4% | Test: 84.4% | Best: 85.0%
Ep 118/200 | Loss: 0.0586 | Test Loss: 0.6350 | Train: 97.7% | Test: 84.8% | Best: 85.0%
Ep 119/200 | Loss: 0.0659 | Test Loss: 0.6767 | Train: 97.6% | Test: 84.0% | Best: 85.0%
Ep 120/200 | Loss: 0.0655 | Test Loss: 0.6737 | Train: 97.4% | Test: 83.5% | Best: 85.0%
Ep 121/200 | Loss: 0.0640 | Test Loss: 0.6660 | Train: 97.5% | Test: 84.0% | Best: 85.0%
Ep 122/200 | Loss: 0.0622 | Test Loss: 0.6049 | Train: 97.8% | Test: 83.8% | Best: 85.0%
Ep 123/200 | Loss: 0.0608 | Test Loss: 0.7371 | Train: 97.8% | Test: 83.7% | Best: 85.0%
Ep 124/200 | Loss: 0.0605 | Test Loss: 0.6228 | Train: 97.6% | Test: 85.0% | Best: 85.0%
Ep 125/200 | Loss: 0.0632 | Test Loss: 0.6105 | Train: 97.7% | Test: 85.0% | Best: 85.0%
Ep 126/200 | Loss: 0.0589 | Test Loss: 0.7929 | Train: 97.9% | Test: 82.7% | Best: 85.0%
Ep 127/200 | Loss: 0.0573 | Test Loss: 0.7283 | Train: 97.9% | Test: 83.8% | Best: 85.0%
Ep 128/200 | Loss: 0.0526 | Test Loss: 0.6100 | Train: 97.9% | Test: 84.3% | Best: 85.0%
Ep 129/200 | Loss: 0.0679 | Test Loss: 0.6000 | Train: 97.5% | Test: 84.1% | Best: 85.0%
Ep 130/200 | Loss: 0.0526 | Test Loss: 0.6088 | Train: 98.0% | Test: 85.4% | Best: 85.4%
Ep 131/200 | Loss: 0.0636 | Test Loss: 0.7995 | Train: 97.7% | Test: 82.5% | Best: 85.4%
Ep 132/200 | Loss: 0.0576 | Test Loss: 0.6461 | Train: 97.7% | Test: 84.0% | Best: 85.4%
Ep 133/200 | Loss: 0.0617 | Test Loss: 0.6102 | Train: 97.6% | Test: 84.1% | Best: 85.4%
Ep 134/200 | Loss: 0.0512 | Test Loss: 0.7072 | Train: 98.1% | Test: 84.5% | Best: 85.4%
Ep 135/200 | Loss: 0.0573 | Test Loss: 0.6615 | Train: 97.8% | Test: 83.9% | Best: 85.4%
Ep 136/200 | Loss: 0.0510 | Test Loss: 0.8170 | Train: 98.0% | Test: 81.5% | Best: 85.4%
Ep 137/200 | Loss: 0.0559 | Test Loss: 0.6679 | Train: 97.8% | Test: 84.3% | Best: 85.4%
Ep 138/200 | Loss: 0.0584 | Test Loss: 0.7028 | Train: 98.0% | Test: 84.0% | Best: 85.4%
Ep 139/200 | Loss: 0.0486 | Test Loss: 0.6835 | Train: 98.4% | Test: 83.8% | Best: 85.4%
Ep 140/200 | Loss: 0.0557 | Test Loss: 0.8392 | Train: 98.0% | Test: 83.0% | Best: 85.4%
Ep 141/200 | Loss: 0.0535 | Test Loss: 0.7221 | Train: 97.9% | Test: 82.5% | Best: 85.4%
