============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260306_131003.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 21864512 / 21864512
Ep 30/200 | Train Loss: 0.8061 | Val Loss: 0.6787 | Test Loss: 0.6787 | Train: 80.4% | Val: 76.0% | Test: 76.0% | Val-Avg10: 72.8% | Val-Best: 76.0%
Ep 31/200 | Train Loss: 0.8008 | Val Loss: 0.8279 | Test Loss: 0.8279 | Train: 80.6% | Val: 71.2% | Test: 71.2% | Val-Avg10: 72.7% | Val-Best: 76.0%
Ep 32/200 | Train Loss: 0.7984 | Val Loss: 0.6895 | Test Loss: 0.6895 | Train: 80.7% | Val: 75.9% | Test: 75.9% | Val-Avg10: 72.9% | Val-Best: 76.0%
Ep 33/200 | Train Loss: 0.7972 | Val Loss: 0.8425 | Test Loss: 0.8425 | Train: 80.7% | Val: 69.2% | Test: 69.2% | Val-Avg10: 72.7% | Val-Best: 76.0%
Ep 34/200 | Train Loss: 0.7932 | Val Loss: 0.7202 | Test Loss: 0.7202 | Train: 80.9% | Val: 74.0% | Test: 74.0% | Val-Avg10: 72.5% | Val-Best: 76.0%
Ep 35/200 | Train Loss: 0.7947 | Val Loss: 0.7037 | Test Loss: 0.7037 | Train: 80.9% | Val: 74.9% | Test: 74.9% | Val-Avg10: 72.8% | Val-Best: 76.0%
Ep 36/200 | Train Loss: 0.7916 | Val Loss: 0.8375 | Test Loss: 0.8375 | Train: 80.9% | Val: 70.7% | Test: 70.7% | Val-Avg10: 72.7% | Val-Best: 76.0%
Ep 37/200 | Train Loss: 0.7955 | Val Loss: 0.7810 | Test Loss: 0.7810 | Train: 80.7% | Val: 71.7% | Test: 71.7% | Val-Avg10: 72.7% | Val-Best: 76.0%
Ep 38/200 | Train Loss: 0.7876 | Val Loss: 0.8808 | Test Loss: 0.8808 | Train: 81.2% | Val: 69.8% | Test: 69.8% | Val-Avg10: 72.3% | Val-Best: 76.0%
Ep 39/200 | Train Loss: 0.7858 | Val Loss: 0.6887 | Test Loss: 0.6887 | Train: 81.2% | Val: 75.7% | Test: 75.7% | Val-Avg10: 72.9% | Val-Best: 76.0%
