============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 1
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260209_105113.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 3.1987 | Test Loss: 0.4923 | Train: 89.9% | Test: 78.8% | Avg10: 78.8% | Best: 0.0% | WG: 34.3% | WG-Avg10: 34.3% | WG-Best: 0.0%
Ep 2/200 | Loss: 0.4610 | Test Loss: 0.4045 | Train: 96.1% | Test: 83.3% | Avg10: 81.0% | Best: 78.8% | WG: 51.2% | WG-Avg10: 42.8% | WG-Best: 34.3%
Ep 3/200 | Loss: 0.3371 | Test Loss: 0.4768 | Train: 97.5% | Test: 81.0% | Avg10: 81.0% | Best: 83.3% | WG: 54.8% | WG-Avg10: 46.8% | WG-Best: 51.2%
Ep 4/200 | Loss: 0.3228 | Test Loss: 0.4556 | Train: 97.8% | Test: 82.7% | Avg10: 81.5% | Best: 83.3% | WG: 60.4% | WG-Avg10: 50.2% | WG-Best: 54.8%
Ep 5/200 | Loss: 0.3082 | Test Loss: 0.4611 | Train: 98.4% | Test: 83.2% | Avg10: 81.8% | Best: 83.3% | WG: 60.7% | WG-Avg10: 52.3% | WG-Best: 60.4%
Ep 6/200 | Loss: 0.2954 | Test Loss: 0.4150 | Train: 98.9% | Test: 85.2% | Avg10: 82.4% | Best: 83.3% | WG: 60.1% | WG-Avg10: 53.6% | WG-Best: 60.7%
Ep 7/200 | Loss: 0.2883 | Test Loss: 0.4673 | Train: 99.0% | Test: 83.9% | Avg10: 82.6% | Best: 85.2% | WG: 62.0% | WG-Avg10: 54.8% | WG-Best: 60.7%
Ep 8/200 | Loss: 0.2837 | Test Loss: 0.4072 | Train: 99.3% | Test: 86.2% | Avg10: 83.0% | Best: 85.2% | WG: 63.9% | WG-Avg10: 55.9% | WG-Best: 62.0%
Ep 9/200 | Loss: 0.2766 | Test Loss: 0.4478 | Train: 99.4% | Test: 85.5% | Avg10: 83.3% | Best: 86.2% | WG: 61.4% | WG-Avg10: 56.5% | WG-Best: 63.9%
Ep 10/200 | Loss: 0.2778 | Test Loss: 0.4013 | Train: 99.5% | Test: 87.4% | Avg10: 83.7% | Best: 86.2% | WG: 61.8% | WG-Avg10: 57.1% | WG-Best: 63.9%
Ep 11/200 | Loss: 0.2748 | Test Loss: 0.4614 | Train: 99.5% | Test: 85.6% | Avg10: 84.4% | Best: 87.4% | WG: 63.4% | WG-Avg10: 60.0% | WG-Best: 63.9%
Ep 12/200 | Loss: 0.2698 | Test Loss: 0.4955 | Train: 99.7% | Test: 84.8% | Avg10: 84.6% | Best: 87.4% | WG: 61.8% | WG-Avg10: 61.0% | WG-Best: 63.9%
Ep 13/200 | Loss: 0.2707 | Test Loss: 0.4543 | Train: 99.7% | Test: 86.4% | Avg10: 85.1% | Best: 87.4% | WG: 60.9% | WG-Avg10: 61.7% | WG-Best: 63.9%
Ep 14/200 | Loss: 0.2699 | Test Loss: 0.4341 | Train: 99.8% | Test: 87.3% | Avg10: 85.6% | Best: 87.4% | WG: 61.8% | WG-Avg10: 61.8% | WG-Best: 63.9%
Ep 15/200 | Loss: 0.2694 | Test Loss: 0.4576 | Train: 99.7% | Test: 86.5% | Avg10: 85.9% | Best: 87.4% | WG: 65.0% | WG-Avg10: 62.2% | WG-Best: 63.9%
Ep 16/200 | Loss: 0.2681 | Test Loss: 0.5236 | Train: 99.9% | Test: 85.1% | Avg10: 85.9% | Best: 87.4% | WG: 62.9% | WG-Avg10: 62.5% | WG-Best: 65.0%
Ep 17/200 | Loss: 0.2668 | Test Loss: 0.4965 | Train: 99.9% | Test: 86.2% | Avg10: 86.1% | Best: 87.4% | WG: 64.2% | WG-Avg10: 62.7% | WG-Best: 65.0%
Ep 18/200 | Loss: 0.2652 | Test Loss: 0.4887 | Train: 99.9% | Test: 86.5% | Avg10: 86.1% | Best: 87.4% | WG: 65.0% | WG-Avg10: 62.8% | WG-Best: 65.0%
Ep 19/200 | Loss: 0.2659 | Test Loss: 0.4763 | Train: 99.8% | Test: 87.1% | Avg10: 86.3% | Best: 87.4% | WG: 61.4% | WG-Avg10: 62.8% | WG-Best: 65.0%
Ep 20/200 | Loss: 0.2658 | Test Loss: 0.5384 | Train: 99.9% | Test: 85.7% | Avg10: 86.1% | Best: 87.4% | WG: 63.2% | WG-Avg10: 63.0% | WG-Best: 65.0%
Ep 21/200 | Loss: 0.2645 | Test Loss: 0.4711 | Train: 99.9% | Test: 87.3% | Avg10: 86.3% | Best: 87.4% | WG: 63.2% | WG-Avg10: 62.9% | WG-Best: 65.0%
Ep 22/200 | Loss: 0.2643 | Test Loss: 0.5274 | Train: 99.9% | Test: 86.3% | Avg10: 86.4% | Best: 87.4% | WG: 62.6% | WG-Avg10: 63.0% | WG-Best: 65.0%
Ep 23/200 | Loss: 0.2641 | Test Loss: 0.4868 | Train: 99.9% | Test: 87.4% | Avg10: 86.5% | Best: 87.4% | WG: 62.3% | WG-Avg10: 63.2% | WG-Best: 65.0%
Ep 24/200 | Loss: 0.2634 | Test Loss: 0.4548 | Train: 99.9% | Test: 88.3% | Avg10: 86.6% | Best: 87.4% | WG: 60.3% | WG-Avg10: 63.0% | WG-Best: 65.0%
Ep 25/200 | Loss: 0.2643 | Test Loss: 0.5112 | Train: 99.9% | Test: 86.9% | Avg10: 86.7% | Best: 88.3% | WG: 64.8% | WG-Avg10: 63.0% | WG-Best: 65.0%
Ep 26/200 | Loss: 0.2628 | Test Loss: 0.5308 | Train: 100.0% | Test: 86.4% | Avg10: 86.8% | Best: 88.3% | WG: 63.6% | WG-Avg10: 63.1% | WG-Best: 65.0%
Ep 27/200 | Loss: 0.2649 | Test Loss: 0.4672 | Train: 99.9% | Test: 88.4% | Avg10: 87.0% | Best: 88.3% | WG: 58.7% | WG-Avg10: 62.5% | WG-Best: 65.0%
Ep 28/200 | Loss: 0.2635 | Test Loss: 0.5107 | Train: 99.9% | Test: 87.1% | Avg10: 87.1% | Best: 88.4% | WG: 67.6% | WG-Avg10: 62.8% | WG-Best: 65.0%
Ep 29/200 | Loss: 0.2626 | Test Loss: 0.4679 | Train: 100.0% | Test: 88.1% | Avg10: 87.2% | Best: 88.4% | WG: 65.6% | WG-Avg10: 63.2% | WG-Best: 67.6%
Ep 30/200 | Loss: 0.2645 | Test Loss: 0.5315 | Train: 99.9% | Test: 86.7% | Avg10: 87.3% | Best: 88.4% | WG: 68.1% | WG-Avg10: 63.7% | WG-Best: 67.6%
Ep 31/200 | Loss: 0.2623 | Test Loss: 0.4979 | Train: 100.0% | Test: 87.6% | Avg10: 87.3% | Best: 88.4% | WG: 61.2% | WG-Avg10: 63.5% | WG-Best: 68.1%
Ep 32/200 | Loss: 0.2622 | Test Loss: 0.5255 | Train: 100.0% | Test: 87.1% | Avg10: 87.4% | Best: 88.4% | WG: 67.0% | WG-Avg10: 63.9% | WG-Best: 68.1%
Ep 33/200 | Loss: 0.2617 | Test Loss: 0.5120 | Train: 100.0% | Test: 87.5% | Avg10: 87.4% | Best: 88.4% | WG: 62.8% | WG-Avg10: 64.0% | WG-Best: 68.1%
Ep 34/200 | Loss: 0.2623 | Test Loss: 0.5333 | Train: 100.0% | Test: 86.9% | Avg10: 87.3% | Best: 88.4% | WG: 63.7% | WG-Avg10: 64.3% | WG-Best: 68.1%
