============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260207_124445.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 43/200 | Loss: 0.4486 | Test Loss: 0.4562 | Train: 93.0% | Test: 85.2% | Avg10: 85.3% | Best: 86.6%
Ep 44/200 | Loss: 0.4393 | Test Loss: 0.4015 | Train: 93.3% | Test: 86.6% | Avg10: 85.5% | Best: 86.6%
Ep 45/200 | Loss: 0.4310 | Test Loss: 0.3879 | Train: 93.7% | Test: 87.6% | Avg10: 85.8% | Best: 87.6%
Ep 46/200 | Loss: 0.4272 | Test Loss: 0.3797 | Train: 93.6% | Test: 88.1% | Avg10: 85.9% | Best: 88.1%
Ep 47/200 | Loss: 0.4223 | Test Loss: 0.4533 | Train: 93.9% | Test: 85.7% | Avg10: 86.0% | Best: 88.1%
Ep 48/200 | Loss: 0.4171 | Test Loss: 0.3857 | Train: 94.0% | Test: 87.7% | Avg10: 86.2% | Best: 88.1%
Ep 49/200 | Loss: 0.4126 | Test Loss: 0.4217 | Train: 94.0% | Test: 86.1% | Avg10: 86.4% | Best: 88.1%
Ep 50/200 | Loss: 0.4065 | Test Loss: 0.3966 | Train: 94.3% | Test: 87.4% | Avg10: 86.6% | Best: 88.1%
Ep 51/200 | Loss: 0.4046 | Test Loss: 0.4292 | Train: 94.5% | Test: 86.6% | Avg10: 86.7% | Best: 88.1%
Ep 52/200 | Loss: 0.4011 | Test Loss: 0.3896 | Train: 94.6% | Test: 87.9% | Avg10: 86.9% | Best: 88.1%
Ep 53/200 | Loss: 0.3985 | Test Loss: 0.4016 | Train: 94.7% | Test: 87.3% | Avg10: 87.1% | Best: 88.1%
Ep 54/200 | Loss: 0.3902 | Test Loss: 0.3716 | Train: 95.1% | Test: 88.1% | Avg10: 87.2% | Best: 88.1%
Ep 55/200 | Loss: 0.3910 | Test Loss: 0.3858 | Train: 94.9% | Test: 88.0% | Avg10: 87.3% | Best: 88.1%
Ep 56/200 | Loss: 0.3846 | Test Loss: 0.4192 | Train: 95.2% | Test: 87.0% | Avg10: 87.2% | Best: 88.1%
Ep 57/200 | Loss: 0.3838 | Test Loss: 0.3696 | Train: 95.2% | Test: 88.6% | Avg10: 87.5% | Best: 88.6%
Ep 58/200 | Loss: 0.3802 | Test Loss: 0.4686 | Train: 95.4% | Test: 86.0% | Avg10: 87.3% | Best: 88.6%
Ep 59/200 | Loss: 0.3746 | Test Loss: 0.4541 | Train: 95.4% | Test: 86.2% | Avg10: 87.3% | Best: 88.6%
Ep 60/200 | Loss: 0.3721 | Test Loss: 0.3990 | Train: 95.7% | Test: 87.6% | Avg10: 87.3% | Best: 88.6%
Ep 61/200 | Loss: 0.3721 | Test Loss: 0.3793 | Train: 95.7% | Test: 88.3% | Avg10: 87.5% | Best: 88.6%
Ep 62/200 | Loss: 0.3673 | Test Loss: 0.3890 | Train: 95.8% | Test: 87.9% | Avg10: 87.5% | Best: 88.6%
Ep 63/200 | Loss: 0.3626 | Test Loss: 0.4055 | Train: 95.9% | Test: 87.5% | Avg10: 87.5% | Best: 88.6%
Ep 64/200 | Loss: 0.3669 | Test Loss: 0.4367 | Train: 95.8% | Test: 86.4% | Avg10: 87.4% | Best: 88.6%
Ep 65/200 | Loss: 0.3589 | Test Loss: 0.4105 | Train: 96.2% | Test: 88.1% | Avg10: 87.4% | Best: 88.6%
Ep 66/200 | Loss: 0.3588 | Test Loss: 0.3802 | Train: 96.1% | Test: 88.4% | Avg10: 87.5% | Best: 88.6%
Ep 67/200 | Loss: 0.3561 | Test Loss: 0.4046 | Train: 96.2% | Test: 87.4% | Avg10: 87.4% | Best: 88.6%
Ep 68/200 | Loss: 0.3590 | Test Loss: 0.3595 | Train: 96.1% | Test: 89.0% | Avg10: 87.7% | Best: 89.0%
Ep 69/200 | Loss: 0.3556 | Test Loss: 0.3769 | Train: 96.2% | Test: 88.6% | Avg10: 87.9% | Best: 89.0%
Ep 70/200 | Loss: 0.3474 | Test Loss: 0.4316 | Train: 96.5% | Test: 87.0% | Avg10: 87.8% | Best: 89.0%
Ep 71/200 | Loss: 0.3535 | Test Loss: 0.4433 | Train: 96.3% | Test: 86.5% | Avg10: 87.7% | Best: 89.0%
Ep 72/200 | Loss: 0.3488 | Test Loss: 0.3886 | Train: 96.5% | Test: 88.2% | Avg10: 87.7% | Best: 89.0%
Ep 73/200 | Loss: 0.3451 | Test Loss: 0.4360 | Train: 96.6% | Test: 87.2% | Avg10: 87.7% | Best: 89.0%
Ep 74/200 | Loss: 0.3503 | Test Loss: 0.3553 | Train: 96.3% | Test: 89.5% | Avg10: 88.0% | Best: 89.5%
Ep 75/200 | Loss: 0.3430 | Test Loss: 0.3809 | Train: 96.6% | Test: 88.5% | Avg10: 88.0% | Best: 89.5%
Ep 76/200 | Loss: 0.3437 | Test Loss: 0.3878 | Train: 96.7% | Test: 88.5% | Avg10: 88.0% | Best: 89.5%
Ep 77/200 | Loss: 0.3412 | Test Loss: 0.4216 | Train: 96.8% | Test: 87.8% | Avg10: 88.1% | Best: 89.5%
Ep 78/200 | Loss: 0.3452 | Test Loss: 0.4087 | Train: 96.6% | Test: 88.1% | Avg10: 88.0% | Best: 89.5%
Ep 79/200 | Loss: 0.3406 | Test Loss: 0.4187 | Train: 96.7% | Test: 87.7% | Avg10: 87.9% | Best: 89.5%
Ep 80/200 | Loss: 0.3402 | Test Loss: 0.3751 | Train: 96.8% | Test: 88.7% | Avg10: 88.1% | Best: 89.5%
Ep 81/200 | Loss: 0.3406 | Test Loss: 0.4658 | Train: 96.7% | Test: 86.6% | Avg10: 88.1% | Best: 89.5%
Ep 82/200 | Loss: 0.3358 | Test Loss: 0.3695 | Train: 96.9% | Test: 89.4% | Avg10: 88.2% | Best: 89.5%
Ep 83/200 | Loss: 0.3364 | Test Loss: 0.3955 | Train: 97.0% | Test: 88.8% | Avg10: 88.4% | Best: 89.5%
Ep 84/200 | Loss: 0.3374 | Test Loss: 0.3983 | Train: 96.8% | Test: 88.1% | Avg10: 88.2% | Best: 89.5%
Ep 85/200 | Loss: 0.3359 | Test Loss: 0.3747 | Train: 96.9% | Test: 89.1% | Avg10: 88.3% | Best: 89.5%
Ep 86/200 | Loss: 0.3355 | Test Loss: 0.3808 | Train: 96.9% | Test: 89.0% | Avg10: 88.3% | Best: 89.5%
Ep 87/200 | Loss: 0.3320 | Test Loss: 0.3674 | Train: 97.0% | Test: 89.2% | Avg10: 88.5% | Best: 89.5%
Ep 88/200 | Loss: 0.3300 | Test Loss: 0.3551 | Train: 97.0% | Test: 89.7% | Avg10: 88.6% | Best: 89.7%
Ep 89/200 | Loss: 0.3348 | Test Loss: 0.4016 | Train: 96.9% | Test: 88.4% | Avg10: 88.7% | Best: 89.7%
Ep 90/200 | Loss: 0.3272 | Test Loss: 0.3936 | Train: 97.1% | Test: 88.8% | Avg10: 88.7% | Best: 89.7%
Ep 91/200 | Loss: 0.3330 | Test Loss: 0.3818 | Train: 97.0% | Test: 89.1% | Avg10: 89.0% | Best: 89.7%
Ep 92/200 | Loss: 0.3281 | Test Loss: 0.3998 | Train: 97.1% | Test: 88.4% | Avg10: 88.9% | Best: 89.7%
Ep 93/200 | Loss: 0.3250 | Test Loss: 0.3932 | Train: 97.2% | Test: 89.0% | Avg10: 88.9% | Best: 89.7%
Ep 94/200 | Loss: 0.3264 | Test Loss: 0.3926 | Train: 97.1% | Test: 88.5% | Avg10: 88.9% | Best: 89.7%
Ep 95/200 | Loss: 0.3248 | Test Loss: 0.4171 | Train: 97.2% | Test: 88.4% | Avg10: 88.8% | Best: 89.7%
Ep 96/200 | Loss: 0.3277 | Test Loss: 0.4366 | Train: 97.1% | Test: 88.3% | Avg10: 88.8% | Best: 89.7%
