============================================================
Training Configuration
============================================================
Dataset: metashift
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_mlp_h2048_e200_20260203_114645.txt
============================================================

Preparing MetaShift dataset (using CIFAR-10 cats and dogs as proxy)...
MetaShift proxy dataset prepared.
Dataset: METASHIFT | Device: cuda | Model: MLP | Params: 12,227,650

Ep 50/200 | Loss: 0.2431 | Test Loss: 0.4212 | Train: 89.6% | Test: 83.2% | Best: 83.2%
Ep 51/200 | Loss: 0.2318 | Test Loss: 0.4242 | Train: 90.1% | Test: 83.8% | Best: 83.8%
Ep 52/200 | Loss: 0.2356 | Test Loss: 0.4249 | Train: 90.2% | Test: 83.4% | Best: 83.8%
Ep 53/200 | Loss: 0.2298 | Test Loss: 0.5058 | Train: 90.3% | Test: 81.7% | Best: 83.8%
Ep 54/200 | Loss: 0.2282 | Test Loss: 0.4242 | Train: 90.6% | Test: 83.5% | Best: 83.8%
Ep 55/200 | Loss: 0.2209 | Test Loss: 0.4083 | Train: 90.7% | Test: 83.9% | Best: 83.9%
Ep 56/200 | Loss: 0.2255 | Test Loss: 0.4635 | Train: 90.5% | Test: 83.8% | Best: 83.9%
Ep 57/200 | Loss: 0.2117 | Test Loss: 0.4226 | Train: 91.1% | Test: 84.0% | Best: 84.0%
Ep 58/200 | Loss: 0.2056 | Test Loss: 0.4264 | Train: 91.5% | Test: 85.0% | Best: 85.0%
Ep 59/200 | Loss: 0.2026 | Test Loss: 0.4058 | Train: 91.9% | Test: 84.8% | Best: 85.0%
Ep 60/200 | Loss: 0.2001 | Test Loss: 0.5471 | Train: 91.8% | Test: 82.0% | Best: 85.0%
Ep 61/200 | Loss: 0.1881 | Test Loss: 0.4470 | Train: 92.0% | Test: 84.0% | Best: 85.0%
Ep 62/200 | Loss: 0.1901 | Test Loss: 0.6232 | Train: 92.0% | Test: 79.5% | Best: 85.0%
Ep 63/200 | Loss: 0.1841 | Test Loss: 0.5535 | Train: 92.4% | Test: 80.4% | Best: 85.0%
Ep 64/200 | Loss: 0.1901 | Test Loss: 0.4781 | Train: 91.9% | Test: 82.7% | Best: 85.0%
Ep 65/200 | Loss: 0.1776 | Test Loss: 0.5971 | Train: 93.0% | Test: 82.0% | Best: 85.0%
Ep 66/200 | Loss: 0.1721 | Test Loss: 0.5072 | Train: 92.7% | Test: 83.1% | Best: 85.0%
