============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260213_153818.txt
WandB: enabled
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 29/200 | Loss: 0.0256 | Test Loss: 0.6309 | Train: 100.0% | Test: 87.2% | Avg10: 87.2% | Best: 88.7% | WG: 64.6% | WG-Avg10: 62.6% | WG-Best: 70.4%
Ep 30/200 | Loss: 0.0273 | Test Loss: 0.5949 | Train: 99.9% | Test: 87.6% | Avg10: 87.3% | Best: 88.7% | WG: 70.7% | WG-Avg10: 62.9% | WG-Best: 70.7%
Ep 31/200 | Loss: 0.0258 | Test Loss: 0.6257 | Train: 100.0% | Test: 87.4% | Avg10: 87.3% | Best: 88.7% | WG: 63.4% | WG-Avg10: 62.7% | WG-Best: 70.7%
Ep 32/200 | Loss: 0.0264 | Test Loss: 0.5554 | Train: 100.0% | Test: 88.7% | Avg10: 87.4% | Best: 88.7% | WG: 67.6% | WG-Avg10: 63.2% | WG-Best: 70.7%
Ep 33/200 | Loss: 0.0259 | Test Loss: 0.6114 | Train: 100.0% | Test: 88.3% | Avg10: 87.6% | Best: 88.7% | WG: 58.1% | WG-Avg10: 63.6% | WG-Best: 70.7%
Ep 34/200 | Loss: 0.0250 | Test Loss: 0.6409 | Train: 100.0% | Test: 87.3% | Avg10: 87.7% | Best: 88.7% | WG: 68.5% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 35/200 | Loss: 0.0250 | Test Loss: 0.5590 | Train: 100.0% | Test: 89.1% | Avg10: 87.9% | Best: 89.1% | WG: 63.4% | WG-Avg10: 64.2% | WG-Best: 70.7%
Ep 36/200 | Loss: 0.0258 | Test Loss: 0.5819 | Train: 100.0% | Test: 88.5% | Avg10: 87.9% | Best: 89.1% | WG: 62.8% | WG-Avg10: 64.9% | WG-Best: 70.7%
Ep 37/200 | Loss: 0.0252 | Test Loss: 0.7031 | Train: 100.0% | Test: 86.6% | Avg10: 87.9% | Best: 89.1% | WG: 64.2% | WG-Avg10: 64.9% | WG-Best: 70.7%
Ep 38/200 | Loss: 0.0267 | Test Loss: 0.5940 | Train: 99.9% | Test: 88.3% | Avg10: 87.9% | Best: 89.1% | WG: 62.9% | WG-Avg10: 64.6% | WG-Best: 70.7%
Ep 39/200 | Loss: 0.0252 | Test Loss: 0.6155 | Train: 100.0% | Test: 88.2% | Avg10: 88.0% | Best: 89.1% | WG: 67.9% | WG-Avg10: 65.0% | WG-Best: 70.7%
Ep 40/200 | Loss: 0.0250 | Test Loss: 0.6861 | Train: 100.0% | Test: 87.0% | Avg10: 87.9% | Best: 89.1% | WG: 64.3% | WG-Avg10: 64.3% | WG-Best: 70.7%
Ep 41/200 | Loss: 0.0256 | Test Loss: 0.6832 | Train: 100.0% | Test: 87.2% | Avg10: 87.9% | Best: 89.1% | WG: 59.2% | WG-Avg10: 63.9% | WG-Best: 70.7%
Ep 42/200 | Loss: 0.0248 | Test Loss: 0.6462 | Train: 100.0% | Test: 87.8% | Avg10: 87.8% | Best: 89.1% | WG: 62.9% | WG-Avg10: 63.4% | WG-Best: 70.7%
Ep 43/200 | Loss: 0.0251 | Test Loss: 0.5806 | Train: 100.0% | Test: 88.9% | Avg10: 87.9% | Best: 89.1% | WG: 63.4% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 44/200 | Loss: 0.0253 | Test Loss: 0.5567 | Train: 100.0% | Test: 89.6% | Avg10: 88.1% | Best: 89.6% | WG: 65.4% | WG-Avg10: 63.6% | WG-Best: 70.7%
Ep 45/200 | Loss: 0.0247 | Test Loss: 0.5436 | Train: 100.0% | Test: 89.6% | Avg10: 88.2% | Best: 89.6% | WG: 67.9% | WG-Avg10: 64.1% | WG-Best: 70.7%
Ep 46/200 | Loss: 0.0251 | Test Loss: 0.5585 | Train: 100.0% | Test: 89.5% | Avg10: 88.3% | Best: 89.6% | WG: 64.3% | WG-Avg10: 64.3% | WG-Best: 70.7%
Ep 47/200 | Loss: 0.0260 | Test Loss: 0.6255 | Train: 100.0% | Test: 88.0% | Avg10: 88.4% | Best: 89.6% | WG: 61.2% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 48/200 | Loss: 0.0259 | Test Loss: 0.6402 | Train: 100.0% | Test: 87.8% | Avg10: 88.4% | Best: 89.6% | WG: 70.6% | WG-Avg10: 64.7% | WG-Best: 70.7%
Ep 49/200 | Loss: 0.0258 | Test Loss: 0.6243 | Train: 100.0% | Test: 87.9% | Avg10: 88.3% | Best: 89.6% | WG: 64.0% | WG-Avg10: 64.3% | WG-Best: 70.7%
Ep 50/200 | Loss: 0.0255 | Test Loss: 0.5762 | Train: 100.0% | Test: 88.8% | Avg10: 88.5% | Best: 89.6% | WG: 63.2% | WG-Avg10: 64.2% | WG-Best: 70.7%
Ep 51/200 | Loss: 0.0261 | Test Loss: 0.6247 | Train: 100.0% | Test: 88.4% | Avg10: 88.6% | Best: 89.6% | WG: 69.0% | WG-Avg10: 65.2% | WG-Best: 70.7%
Ep 52/200 | Loss: 0.0260 | Test Loss: 0.5785 | Train: 99.9% | Test: 89.0% | Avg10: 88.7% | Best: 89.6% | WG: 70.4% | WG-Avg10: 66.0% | WG-Best: 70.7%
Ep 53/200 | Loss: 0.0250 | Test Loss: 0.6140 | Train: 100.0% | Test: 88.3% | Avg10: 88.7% | Best: 89.6% | WG: 62.5% | WG-Avg10: 65.9% | WG-Best: 70.7%
Ep 54/200 | Loss: 0.0250 | Test Loss: 0.6281 | Train: 100.0% | Test: 88.2% | Avg10: 88.5% | Best: 89.6% | WG: 65.0% | WG-Avg10: 65.8% | WG-Best: 70.7%
Ep 55/200 | Loss: 0.0250 | Test Loss: 0.6331 | Train: 100.0% | Test: 88.2% | Avg10: 88.4% | Best: 89.6% | WG: 68.4% | WG-Avg10: 65.9% | WG-Best: 70.7%
Ep 56/200 | Loss: 0.0249 | Test Loss: 0.5828 | Train: 100.0% | Test: 89.0% | Avg10: 88.3% | Best: 89.6% | WG: 63.4% | WG-Avg10: 65.8% | WG-Best: 70.7%
Ep 57/200 | Loss: 0.0248 | Test Loss: 0.7278 | Train: 100.0% | Test: 86.9% | Avg10: 88.2% | Best: 89.6% | WG: 69.3% | WG-Avg10: 66.6% | WG-Best: 70.7%
